 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Andre Iguodala,GSW,31,21,16,5,30.2,106.5,101.2,5.4,18.5,5.36,26,2.5,11.7,7.2,4.8,55.8,54.6,14.9,95.95,10.6,1269
1,Draymond Green,GSW,25,21,16,5,37.3,108.9,96.4,12.5,20.9,1.88,24.4,5.9,19.6,13,13,46.7,51.7,18.9,96.84,12.5,1577
1,Harrison Barnes,GSW,23,21,16,5,32.4,103.3,95.4,7.9,7.2,1.45,11.9,6.4,8.7,7.6,8.2,49.5,51.9,15.2,96.92,8,1378
1,Klay Thompson,GSW,25,21,16,5,36.2,108.2,99.5,8.6,11.8,1.32,12.1,1.2,9,5.3,9.2,53.1,55.3,23.3,95.18,9.4,1504
1,Leandro Barbosa,GSW,32,21,16,5,10.9,104.9,96.8,8.2,12.7,1.5,14.1,3.3,8.3,5.7,9.4,48.9,53.2,20.5,97.33,8.4,465
1,Shaun Livingston,GSW,29,21,16,5,17.8,108.4,96.9,11.5,14.6,1.81,25.3,3.5,9.8,6.7,14,53.2,58.3,13.2,95,8.5,735
1,Stephen Curry,GSW,27,21,16,5,39.3,106.4,97,9.4,30,1.63,19,2.4,9.4,6,11.6,56.7,60.7,30.1,96.92,17.4,1672
8,Festus Ezeli,GSW,25,20,15,5,9.2,100.3,97.1,3.2,5.2,0.5,7.3,11.9,19.5,15.7,14.6,54,55.8,17.1,99.47,10.1,380
8,Iman Shumpert,CLE,25,20,14,6,34.8,106.5,101.6,4.9,5.3,1.77,10.5,3.2,10.3,6.7,5.9,46,49.8,12.5,91.87,6.8,1333
8,James Jones,CLE,34,20,14,6,15.5,103.9,102.5,1.4,4.9,1.8,9.6,0.3,8.8,4.4,5.3,49.3,53.6,11.9,95.04,4,618
