 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Grant Williams,BOS,23,24,14,10,27.2,109.2,107.6,1.6,4.4,0.95,8.9,3.5,9.8,6.8,9.4,55,59.9,13.1,96.95,5.2,1312
1,Jaylen Brown,BOS,25,24,14,10,38.3,110.7,106.3,4.4,16.7,1.15,13.4,3.7,13.8,8.9,11.7,54.2,58.1,26.5,95.94,12.6,1835
1,Jayson Tatum,BOS,24,24,14,10,41,110.2,105.5,4.7,26.3,1.48,18.6,2.5,13.2,8,12.6,50.7,56.2,28.8,96.58,13.1,1985
1,Payton Pritchard,BOS,24,24,14,10,12.9,112.5,103.2,9.3,18.4,4.22,25,3.6,11.1,7.6,5.9,53.9,54.5,16.5,96.88,9,622
5,Al Horford,BOS,36,23,14,9,35.4,111,105.1,5.9,14.3,2.62,24.4,4.3,20.9,12.9,9.3,64.5,66.3,12.7,96.17,13.1,1634
5,Derrick White,BOS,27,23,13,10,25.4,106.1,104.6,1.5,16.3,2.1,21.1,1.4,9.9,5.8,10,43.8,49.4,17.1,97.69,7.4,1187
7,Andrew Wiggins,GSW,27,22,16,6,34.9,116.7,107.4,9.3,7.5,1.33,9.9,7.1,13.5,10.4,7.4,52.6,54.4,20.4,98.12,9.8,1565
7,Draymond Green,GSW,32,22,16,6,32,114.6,107.2,7.4,25.6,2.34,38.3,3.8,17.4,10.9,16.4,50.7,53.4,13.6,98.14,9.1,1442
7,Jordan Poole,GSW,23,22,16,6,27.5,111.8,108.8,3,21.6,1.57,19.9,1.7,8,5,12.7,60.6,65.4,23.5,99.74,11.9,1264
7,Kevon Looney,GSW,26,22,16,6,20.4,113.5,105.8,7.7,14.5,2.53,29.4,13.4,22,17.7,11.7,65.9,66.2,10.8,98.55,12.3,916
7,Klay Thompson,GSW,32,22,16,6,36,112.6,111.2,1.4,9.5,1.79,10.9,0.9,9.6,5.3,6.1,53.4,55,22.2,98.26,9.2,1629
7,Stephen Curry,GSW,34,22,16,6,34.7,116.7,109.5,7.2,26.9,2.26,19.2,1.5,12.7,7.3,8.5,56.3,60.6,30.4,98.91,15.8,1577
13,Marcus Smart,BOS,28,21,12,9,36.2,110.4,107.9,2.5,25.8,2.37,25.5,2.6,9.5,6.1,10.8,49.1,52.9,20.6,97.06,9.2,1534
14,Otto Porter Jr.,GSW,29,19,14,5,19.5,118.6,106.2,12.4,11.5,2.83,26.8,3.6,14,9.1,9.4,61.7,63,10.8,98.38,8.5,767
15,Bam Adebayo,MIA,24,18,11,7,34.1,111,104.3,6.7,12.5,1.26,16.4,5.9,18.4,11.9,13,59.4,63.8,17.7,93.54,13.2,1195
15,Davis Bertans,DAL,29,18,9,9,10.7,110.2,106.1,4.1,4.9,2,8.8,2.1,13.3,7.3,4.4,57.3,60.6,14.2,98.5,7.1,393
15,Dorian Finney-Smith,DAL,29,18,9,9,38.2,117.5,113.2,4.3,7.6,1.94,15.8,4.9,10.4,7.7,8.1,61.8,63,12.8,92.76,7.1,1325
15,Dwight Powell,DAL,30,18,9,9,13.8,111.4,106.8,4.6,2.3,0.44,6.9,7.5,11.5,9.6,15.5,62.9,64.3,10.1,93.59,4.1,483
15,Gabe Vincent,MIA,26,18,11,7,23.5,111.7,102.4,9.3,19.3,2.28,26,0.7,7.5,4,11.4,47.7,51.5,16.5,95.45,7,840
15,Jalen Brunson,DAL,25,18,9,9,35,115.6,114,1.6,19.4,3.47,15.2,2.5,11.5,6.9,4.4,50.8,55.3,27.4,93.35,12.6,1220
15,Max Strus,MIA,26,18,11,7,29,110.5,101.5,9,10.8,1.9,15.4,2.8,11.7,7,8.1,50.3,51.6,17.7,93.93,7,1021
15,Maxi Kleber,DAL,30,18,9,9,25.4,113.9,115.1,-1.2,6.9,1.82,13.7,3.3,16.7,9.6,7.5,67,68.1,12.8,93.95,8.2,893
15,P.J. Tucker,MIA,37,18,11,7,28.3,111.4,106,5.5,9.3,2.46,19.8,6.7,14.3,10.3,8,60.1,61.2,11.4,93.3,8.9,989
15,Reggie Bullock Jr.,DAL,31,18,9,9,39.3,114.6,112.7,1.8,6.3,3.75,15.5,1.2,11.5,6.1,4.1,57.6,59.8,10.8,92.95,6.5,1374
15,Spencer Dinwiddie,DAL,29,18,9,9,27.8,112.3,111.6,0.7,22.2,2.24,20.6,1.6,7.6,4.5,9.2,52.1,57.6,23,94.18,10,985
26,Caleb Martin,MIA,26,17,11,6,12.3,100.7,108,-7.2,4.1,0.5,5.2,5.5,11.8,8.6,10.4,46.3,46,18.9,96.83,6,416
26,Jimmy Butler,MIA,32,17,10,7,37,113.4,105.7,7.7,22.9,3.12,16.2,6.3,14.3,10.1,5.2,54.1,60.4,28,94.43,20.5,1238
26,Robert Williams III,BOS,24,17,9,8,23.2,108,100.5,7.5,6.8,1.7,14.5,10.8,14.3,12.6,8.5,67.9,72.5,10.9,96.68,13.6,796
29,Damion Lee,GSW,29,16,11,5,7.8,95.6,109.4,-13.8,8.3,1.17,14.6,4.1,16.5,10.5,12.5,44.1,45.3,13.8,103.93,5.4,271
29,Daniel Theis,BOS,30,16,10,6,12.5,102.4,110.8,-8.4,9.4,1,14.3,6.7,18.6,12.9,14.3,61.8,63.3,14.3,101.39,9.6,420
29,Jonathan Kuminga,GSW,19,16,10,6,8.6,97,108,-11,9.8,0.73,8.8,3.2,16.2,10.1,12.1,52.5,58.1,25.5,104.15,10.9,298
29,Josh Green,DAL,21,16,8,8,7.6,100.8,109.2,-8.4,9,0,17.9,0.7,10,4.9,0,37.5,36.5,11.4,99.24,1.1,251
33,Aaron Nesmith,BOS,22,15,8,7,3.5,90.7,89.3,1.4,10.3,3,13,7.4,17.7,12.9,4.3,26.5,32,16.9,100.19,6.4,107
33,Luka Doncic,DAL,23,15,7,8,36.8,114.1,111.4,2.7,36.9,1.63,17,1.9,25.9,13.9,10.4,52.7,57.7,39.6,93.22,20.4,1073
33,Nemanja Bjelica,GSW,34,15,10,5,10,101.6,108.9,-7.2,17.3,2.43,27.9,4.2,17.6,10.8,11.5,57.4,58,12.9,98.42,7.9,310
33,Tyler Herro,MIA,22,15,10,5,25.4,107.1,114.8,-7.7,19,1.56,16.2,1.8,15,7.9,10.4,45.3,49,24.8,95.21,10.3,760
33,Victor Oladipo,MIA,30,15,9,6,24.5,107,105,2,13,1.24,14.3,1,13,6.8,11.5,43,49.9,21.6,97.32,8.3,747
38,Dewayne Dedmon,MIA,32,14,10,4,9.8,111.5,112.7,-1.2,5.5,0.71,8.1,10.5,21.4,15.6,11.3,47.8,52.7,17.5,98.09,5.1,278
38,Juan Toscano-Anderson,GSW,29,14,9,5,3.5,79.4,104.6,-25.2,28.6,1,29.6,0,20.8,10.6,29.6,50,48.6,16,105.53,7.7,107
40,Cameron Johnson,PHX,26,13,7,6,24.6,111.3,113.5,-2.2,8.7,1.67,13.7,3.1,11.7,7.6,8.2,57.6,61.9,17.4,96.97,8.4,644
40,Cameron Payne,PHX,27,13,7,6,13.2,104.6,107.1,-2.5,23.3,2.08,23.1,1.1,10.1,5.6,11.1,33.1,35.2,22.2,98.22,2.8,350
