 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Boris Diaw,SAS,32,23,16,7,26.3,112.4,103.7,8.7,18.7,2.69,26.9,4.6,14.9,9.9,10,55.6,58.2,16,95.58,11,1195
1,Danny Green,SAS,27,23,16,7,23,109.7,98.7,11,5.8,1.05,10.3,1.9,11.2,6.7,9.8,64.2,65,15.7,94.74,10.2,1041
1,Kawhi Leonard,SAS,23,23,16,7,32,113,100.6,12.4,7.7,1.31,11.2,4.7,16.9,11.2,8.6,57.5,60.6,18.7,94.25,12.5,1442
1,Manu Ginobili,SAS,36,23,16,7,25.5,116.5,99.7,16.7,24.3,1.83,22.5,1.7,11,6.7,12.3,52.5,59.3,25.3,96.86,13.1,1176
1,Marco Belinelli,SAS,28,23,16,7,15.5,102.5,111,-8.5,8.3,1.58,13.6,1.1,14,7.5,8.6,52.5,57.5,15.1,96.92,8.2,718
1,Patty Mills,SAS,25,23,16,7,15.2,114.6,99.7,14.9,14,2.36,17,1,9.3,5.3,7.2,56,57.3,20.6,97.81,10,713
1,Tiago Splitter,SAS,29,23,16,7,22.4,109.5,99.2,10.3,12.7,2.56,23.5,9.3,18.2,14,9.2,61,65.9,13.1,95.48,12.4,1024
1,Tim Duncan,SAS,38,23,16,7,32.7,112.4,102.3,10.1,9.3,1.73,11.2,9.5,19.2,14.6,6.5,52.3,56.8,21.7,93.39,14.4,1465
1,Tony Parker,SAS,32,23,16,7,31.3,112.2,104.3,7.9,26,1.79,20.2,0.8,5.5,3.3,11.3,50.4,53.1,27.9,93.55,10.7,1397
10,Matt Bonner,SAS,34,22,15,7,6.2,110.4,93.2,17.2,11.8,5.5,30.6,1.6,8.1,5.1,5.6,57.1,59.3,8.4,94.55,6.6,268
11,Chris Bosh,MIA,30,20,13,7,34.3,109,110.9,-1.9,5.4,1.5,7.4,4.4,15,9.9,4.9,57.2,59.6,19.5,87.29,11,1246
11,Dwyane Wade,MIA,32,20,13,7,34.6,108.3,108.5,-0.2,20.9,1.43,17.1,2.8,10.3,6.6,12,51.6,56,27.2,87.46,11.4,1264
11,LeBron James,MIA,29,20,13,7,38.2,111.3,106.7,4.7,25.3,1.56,16.8,2.2,19.5,11,10.8,61.6,66.8,31,87.84,21.2,1396
11,Mario Chalmers,MIA,28,20,13,7,26.7,111.6,110,1.6,19.6,2.4,32.1,0.5,9.6,5.2,13.4,49.1,52.5,14.4,88,6.5,980
11,Norris Cole,MIA,25,20,13,7,20.2,111,105.2,5.8,14.2,1.89,25.9,0.3,6.1,3.3,13.7,50.6,54.4,12.5,89.18,4.5,747
11,Ray Allen,MIA,38,20,13,7,26.4,112.2,107.2,5,10,1.33,14.9,3,11.5,7.4,11.2,52.8,58.1,17.4,87.06,8.4,951
17,C.J. Watson,IND,30,19,10,9,18,97.6,108,-10.5,9.3,1.29,13.5,0.9,11.9,6.3,10.5,50,52.3,15.9,91.67,7.3,659
17,David West,IND,33,19,10,9,36.2,104.8,101,3.8,19.7,1.74,19.1,3.8,15.7,9.9,11,49.8,52.8,21.9,90.14,12.1,1294
17,Derek Fisher,OKC,39,19,10,9,15.7,98.5,106.2,-7.7,8.6,2.67,15.7,2,9,5.6,5.9,39.7,45.9,12.8,96.25,5.1,605
17,George Hill,IND,28,19,10,9,36.1,102.4,101.7,0.8,14.1,2.04,19.6,2.2,8.6,5.5,9.6,52.2,56.1,16.4,88.85,9.3,1276
17,Ian Mahinmi,IND,27,19,10,9,12.7,96.9,104.5,-7.6,2,0.3,6.3,9.6,10.2,9.9,20.8,48.1,53,8.8,91.95,2.5,459
17,Kendrick Perkins,OKC,29,19,10,9,20.2,106.8,104.7,2.1,5.1,0.56,15.4,9.4,17.6,13.7,27.5,53.3,58.1,9,93.73,3.8,749
17,Kevin Durant,OKC,25,19,10,9,42.9,108,107.9,0.1,17.9,1.04,11.7,3.3,17,10.5,11.3,51.1,57,31,94.4,16.2,1606
17,Lance Stephenson,IND,23,19,10,9,37.1,103.4,102.2,1.2,20.1,1.74,21.8,3.7,16,9.9,12.5,50.9,53.6,19.5,89.01,11.3,1309
