 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,James Posey,BOS,31,26,16,10,22.1,104.5,103.4,1.1,8.4,2,15.5,2.3,15.6,9,7.7,58.4,63.7,12.5,89.83,10.9,1072
1,Kevin Garnett,BOS,32,26,16,10,37.9,110.1,99.4,10.7,17.6,1.58,13.7,8.2,22,15.3,8.7,49.8,54.2,26.5,87.25,18.3,1791
1,Paul Pierce,BOS,30,26,16,10,38.1,109.5,101.7,7.8,22.1,1.45,18.2,2.4,11.9,7.2,12.5,49.9,57,25.6,87.85,12.6,1808
1,Rajon Rondo,BOS,22,26,16,10,31.9,105.4,100.9,4.5,35.5,3.66,33.6,5.1,9,7,9.2,41.6,45.4,19.3,88.86,11.1,1533
1,Ray Allen,BOS,32,26,16,10,38,107.2,99.7,7.6,12.5,1.87,15.6,2.7,7.9,5.3,8.4,51.6,57.6,18.4,87.55,10.5,1809
6,Kendrick Perkins,BOS,23,25,16,9,25.2,106,95,11,3.4,0.42,7.3,9.3,17,13.2,17.5,58.5,62.1,12.4,86.69,8.5,1138
6,P.J. Brown,BOS,38,25,16,9,13.6,96.7,104.3,-7.6,6.5,1,13,5.9,13.4,9.6,13,46.4,54.5,11.2,88.96,4.5,629
8,Leon Powe,BOS,24,23,14,9,11.7,105.7,104.4,1.3,2.6,0.33,3.3,12.3,12.4,12.4,10,49.3,56.8,19.9,88.29,7,494
9,Derek Fisher,LAL,33,21,14,7,31.6,113.2,103.8,9.4,11.3,2.6,20.9,0.3,6.4,3.6,8,52.7,60.4,13.4,95.7,7.9,1321
9,Eddie House,BOS,30,21,12,9,7.9,107.2,98.7,8.4,17.1,4.5,22,1.3,12,6.9,4.9,40.2,43.7,17.2,94.68,8.4,335
9,Jordan Farmar,LAL,21,21,14,7,17.1,96.1,108.4,-12.2,13.2,1.59,16.3,2,7.5,4.7,10.2,45.7,48.8,17.8,93.57,6.2,699
9,Kobe Bryant,LAL,29,21,14,7,41.1,110.2,106.2,4,26.4,1.67,16,2.2,11.5,7,9.6,51.4,57.7,32.5,94.42,16.7,1696
9,Lamar Odom,LAL,28,21,14,7,37.4,106.7,104.1,2.7,12.8,1.32,16.1,6.4,20.1,13.6,12.2,49.8,55,18.7,94.47,11.6,1544
9,Luke Walton,LAL,28,21,14,7,16.8,109.2,106.9,2.4,17.7,2.05,23.7,3.9,11.7,7.9,11.6,51,55.4,16.8,96.26,8.2,703
9,Pau Gasol,LAL,27,21,14,7,39.8,111.4,105.8,5.6,16.1,1.89,18.8,6.9,16.4,11.8,10,53,56.8,19.5,94.56,13.1,1641
9,Sam Cassell,BOS,38,21,13,8,12.5,105.7,96,9.7,18.7,2.08,16,0.8,5.4,3.1,7.7,36,39.7,23.6,86.42,3.6,473
9,Sasha Vujacic,LAL,24,21,14,7,21.7,105.3,104.7,0.7,5.9,0.89,8.6,1.8,7.9,4.9,9.6,51.1,55.7,16.9,94.85,6.6,900
9,Vladimir Radmanovic,LAL,27,21,14,7,22.9,111,102.4,8.6,9.4,1.48,15,5.3,11.8,8.7,10.2,54,54.7,16.5,94.23,7,945
19,Ronny Turiaf,LAL,25,19,12,7,9.8,89.1,102.8,-13.7,5.1,0.56,8.6,3.4,10.6,7.2,15.5,38.9,43.7,13.2,91.58,-0.2,357
20,Antonio McDyess,DET,33,17,10,7,27.5,106.1,101.2,4.9,5.9,0.8,9.5,11.5,19.7,15.5,11.9,53.8,57.5,15.7,85.01,10.3,830
20,Bruce Bowen,SAS,37,17,9,8,29.9,99.8,101.2,-1.5,7.1,2.56,17.8,0.4,6,3.3,7,51.6,53.1,10,90.14,4,946
20,Fabricio Oberto,SAS,33,17,9,8,19.5,102.2,100.6,1.6,9,1.43,23.5,5.2,17.3,11.6,16.5,60.9,62.5,9.4,93.07,6.7,638
20,Glen Davis,BOS,22,17,9,8,8.1,100.8,110.6,-9.8,9.5,0.7,11.7,9.3,11.1,10.2,16.7,41.2,46.5,18,91.73,1.9,260
20,Jason Maxiell,DET,25,17,10,7,21.8,107.2,97.4,9.9,6.8,1.45,15.2,6.7,13.3,10.2,10.5,62.5,60.8,11.7,88.21,9.3,677
20,Kurt Thomas,SAS,35,17,9,8,15.8,93.2,99,-5.9,3.8,0.46,6.6,9.9,23.1,16.4,14.3,45.7,47.2,14.6,91.08,6.9,511
20,Manu Ginobili,SAS,30,17,9,8,32.9,102.9,101.9,0.9,21.1,1.43,17.9,2.5,9.3,5.9,12.5,50.4,57,25.3,93.07,11.6,1084
20,Michael Finley,SAS,35,17,9,8,23,103.6,104.3,-0.7,6.4,2.83,12.9,0.3,8.3,4.4,4.5,49.1,51.4,13.5,93.73,5.6,768
20,Rasheed Wallace,DET,33,17,10,7,34.4,106,103.3,2.7,8.6,0.97,10,3.5,17.6,10.3,10.4,48.3,51.1,20.9,86.31,9.6,1047
20,Richard Hamilton,DET,30,17,10,7,38.6,107.8,102.3,5.5,19.5,1.4,15.1,3.3,9.1,6.2,10.8,48.4,55.9,27.6,87.45,14,1197
20,Rodney Stuckey,DET,22,17,10,7,22.4,103.1,100.3,2.9,27.1,2.52,26,3.2,5.9,4.6,10.3,37.9,49.1,20.6,89.06,10.3,699
20,Tayshaun Prince,DET,28,17,10,7,39.5,106.3,101.7,4.6,14.9,1.72,17.7,5.3,10.3,7.8,10.3,50,52.7,18.4,86.22,11,1203
20,Tim Duncan,SAS,32,17,9,8,39.2,104.9,104,1,15.6,1.37,12.5,9.5,28.2,19,9.2,45,48.8,27.9,90.72,16.6,1253
20,Tony Parker,SAS,26,17,9,8,38.5,103,104.4,-1.3,30.5,2.06,20.6,1.6,8.4,5,10,50.8,54.9,28.6,91.12,14,1248
34,Brent Barry,SAS,36,16,8,8,14.2,104.4,103.6,0.8,11.9,1.89,20.2,0.9,7.2,4.1,10.7,67,69.6,13.5,94.1,8.6,450
34,Ime Udoka,SAS,30,16,9,7,14.8,96.9,97.4,-0.5,13.2,1.55,16.7,3.1,17,10.2,10.8,57.7,58.7,17,92.32,12.1,450
36,Chauncey Billups,DET,31,15,8,7,32,107.4,103.3,4.1,30.5,4.15,26.3,1.4,8.9,5.1,6.3,47.1,56.4,23.5,86.97,14.6,866
36,Robert Horry,SAS,37,15,8,7,10.3,99.3,94.6,4.7,8.4,4,16.3,6.6,14.7,10.4,4.1,26.4,29.8,12.1,93.19,-0.5,300
36,Tony Allen,BOS,26,15,9,6,4.3,100,93.5,6.5,7.9,3,13.6,1.5,2.6,2.1,4.5,56.3,54.9,12.6,101.17,5.5,136
39,Jacque Vaughn,SAS,33,14,8,6,6.5,83.9,98.9,-14.9,16.3,1.14,21.6,2.3,8.1,5.2,18.9,27.3,27.3,15.2,92.01,-4,174
40,Anderson Varejao,CLE,25,13,7,6,18.4,99.8,99.8,0,6.9,1,11.1,8.8,22.6,15.4,11.1,40.7,41.9,13.9,89.52,7.3,450
40,Ben Wallace,CLE,33,13,7,6,23.4,98.6,96.3,2.3,8.4,2.14,23.1,10.6,17.5,14,10.8,51.5,49,7.7,88.81,9.1,559
40,Delonte West,CLE,24,13,7,6,34.9,101.2,97.8,3.4,22.3,1.69,25.2,1.9,8.2,5,15,48.2,55.1,16.8,88.03,8.7,828
40,Joe Smith,CLE,32,13,7,6,20.2,103.4,102.3,1.2,4.5,1,6.3,7.6,16.6,11.9,6.3,48.6,51.4,15.6,88.99,8.8,493
40,LeBron James,CLE,23,13,7,6,42.5,105.7,99.6,6.1,39,1.83,19.8,3,16.9,9.8,10.8,44.4,52.5,34.2,87.02,19.6,1003
40,Wally Szczerbiak,CLE,31,13,7,6,28.8,98.1,98.3,-0.1,9.8,1.9,11.5,1.1,5.4,3.2,6.1,45.6,51,18.6,88.66,5.8,691
40,Zydrunas Ilgauskas,CLE,33,13,7,6,30.3,102.1,99.3,2.8,10.8,1,10.3,8.9,18.1,13.4,10.3,47.9,53.3,22.2,86.32,13,710
47,Andrei Kirilenko,UTA,27,12,6,6,32.3,110.5,106.8,3.7,11.9,1.67,16.9,4.1,6.8,5.5,10.2,46.9,51,17.2,91.31,6.6,734
47,Arron Afflalo,DET,22,12,9,3,7,89.9,96.4,-6.5,10.9,6,24,0,6.4,3.2,4,38.9,38.9,10.6,92.61,5.3,158
47,Bonzi Wells,NOH,31,12,7,5,14.2,103,104.2,-1.3,7.3,1.33,10.8,2.3,17.2,9.4,8.1,38.6,36.9,18.6,85.63,2.6,302
47,Carlos Boozer,UTA,26,12,6,6,36.7,108.2,108.2,0,13.1,0.94,12.2,9.8,24.9,17.3,12.9,41.5,46.2,25.1,91.39,10.7,839
47,Chris Paul,NOH,23,12,7,5,40.5,112.6,105.4,7.2,48.7,6.14,32.8,3.4,9,6.3,5.4,51.4,56.5,27.2,88.74,18.7,895
47,David West,NOH,27,12,7,5,40.4,109.1,105.2,3.9,12.2,1.62,11.4,4.4,17,10.6,7,46.8,52.2,25.7,89.6,13.9,906
47,Deron Williams,UTA,24,12,6,6,42.7,109.5,109.5,0,39.9,3.24,32.3,3.1,5.5,4.3,9.9,56.8,61.1,22.1,90.71,14.6,970
47,Jannero Pargo,NOH,28,12,7,5,22.1,107.4,103,4.3,17.5,2.45,16.5,1.9,9.5,5.7,6.7,45.3,48.2,24.4,88.64,9.5,487
47,Kyle Korver,UTA,27,12,6,6,21.6,109.1,108,1.1,4.6,0.88,7.1,1.9,8,4.9,8.1,48.6,56,15.7,91.08,7.2,494
47,Matt Harpring,UTA,32,12,6,6,17.4,105.7,108.1,-2.4,6.8,0.73,8.1,7.9,8.7,8.3,11.1,40.5,50.4,19.7,89.6,5.5,386
47,Mehmet Okur,UTA,29,12,6,6,38.5,110,108.4,1.6,8,1.21,10.6,7.7,24.3,16,8.8,48.4,52.7,19.1,90.28,12.5,870
47,Morris Peterson,NOH,30,12,7,5,23.1,111.5,104.2,7.3,3.6,1.4,8.4,1.1,10,5.7,6,60.3,60.9,13,90.38,6,522
47,Paul Millsap,UTA,23,12,6,6,17.5,103.5,106.9,-3.4,3.4,0.44,4.8,9.9,12.6,11.1,10.7,51.6,52.7,16.5,91.59,7.2,397
47,Peja Stojakovic,NOH,31,12,7,5,37.9,110.5,106.1,4.3,2,0.75,3.8,1.4,13,7.3,5,54.1,58.3,16.2,89.13,9,841
47,Ronnie Brewer,UTA,23,12,6,6,25.4,108.6,107,1.7,9.8,4.75,14.4,5.6,7.3,6.5,3,52.6,56,16.8,90.09,9.4,569
47,Ronnie Price,UTA,25,12,6,6,5.7,93.3,97.8,-4.5,30.6,1.83,20.8,1.3,4.8,2.9,11.3,37.1,44.9,26.1,94.53,10.9,134
47,Theo Ratliff,DET,35,12,6,6,10.9,100.4,104.8,-4.4,1.3,0.25,4.8,11.6,10.6,11.1,19,50,51.5,7,90.5,1.8,245
47,Tyson Chandler,NOH,25,12,7,5,34.3,115.1,101.7,13.4,1.7,0.5,5.5,11.8,18.1,15.1,11,63.2,64,10.1,87.65,9.4,748
65,Daniel Gibson,CLE,22,11,6,5,25.8,107,99.4,7.6,17.5,1.8,21.4,1.5,5.7,3.5,11.9,57.1,58.8,16.1,88.56,9.3,527
65,Jarvis Hayes,DET,26,11,8,3,5.6,83.5,101.6,-18.1,12.5,1,10.5,5.9,19,12.2,10.5,38.3,38.3,24.5,96.97,4.4,121
65,Julian Wright,NOH,21,11,7,4,11.9,100.9,102.1,-1.2,6.6,1,8.8,5.1,9.5,7.4,8.8,47.7,50.4,19.2,86.73,9.6,235
65,Lindsey Hunter,DET,37,11,5,6,10.5,100.9,91.4,9.5,20,2.8,35,1.9,7.3,4.7,12.5,50,50,10.9,90.32,4.3,213
69,Dwight Howard,ORL,22,10,5,5,42.1,110.5,106.7,3.8,3.7,0.28,4.4,15.5,22.6,19.2,15.8,58.1,58.9,21.3,89.76,13.8,789
69,Hedo Turkoglu,ORL,29,10,5,5,39.9,109.6,109,0.6,23.3,1.45,21.6,3.9,12.6,8.4,14.9,48.2,54.3,23.4,89.16,10.6,741
69,Jameer Nelson,ORL,26,10,5,5,33.3,113,109,4,23,2.24,23.7,1.3,11.2,6.4,10.6,59.3,62.7,21,89.81,10.5,623
69,Keith Bogans,ORL,28,10,5,5,29.3,109.1,105.1,4,6.1,1.57,12.2,1.5,12.5,7.3,7.8,47.8,50.1,12.8,88.99,5.5,539
69,Keyon Dooling,ORL,28,10,5,5,14.8,96,97.1,-1.1,10,1.17,9.3,1.4,5,3.4,8,47.3,52.7,22.1,89.17,6.7,274
69,Maurice Evans,ORL,29,10,5,5,28.2,106.9,103.7,3.2,4,0.78,7.9,2.8,6.2,4.6,10.1,61.6,62.1,13.5,90.95,7.2,533
69,Rashard Lewis,ORL,28,10,5,5,41.7,111,108,3,13.9,1.48,14.3,6.3,11.6,9.1,9.7,50,54.1,22.7,89.31,11.7,780
76,Ryan Bowen,NOH,32,9,6,3,4.4,108.8,97.3,11.6,6.9,2,20,10.7,26.2,20,10,16.7,29.1,10.1,86.4,9.7,68
77,Amir Johnson,DET,21,8,5,3,5.4,86.9,109.2,-22.3,5.3,0.5,5.6,6.7,20.4,13.8,11.1,75,71.7,17.5,95.72,16.3,84
77,Devin Brown,CLE,29,8,5,3,11.5,92.5,108,-15.5,18,1,15.3,8.3,13.3,10.6,15.3,33.8,40.6,23.6,90.84,4.4,174
77,Hilton Armstrong,NOH,23,8,6,2,9,102.3,112.3,-10,0,0,0,14.5,18,16.3,19,61.5,60.3,14.1,89.96,5.9,132
77,Marcin Gortat,ORL,24,8,4,4,6,103.5,90,13.5,0,0,0,4.9,13.6,9.4,33.3,83.3,83.3,9.6,87.97,7.3,86
