 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Hedo Turkoglu,ORL,30,24,13,11,38.9,107.8,105.6,2.2,21.8,1.81,22,1.1,11.6,6.4,12.1,48.1,54.7,21.2,89.38,9.8,1740
1,Marcin Gortat,ORL,25,24,13,11,11.3,107.9,98,9.9,1.8,0.27,4.1,7.6,22.1,15.2,15.1,65.4,66.1,11.8,95.01,10.4,531
1,Mickael Pietrus,ORL,27,24,13,11,25.7,105.2,102.8,2.3,4.2,0.64,5.9,3.4,7.3,5.4,9.2,58.9,62.2,17.1,90.95,7.8,1165
1,Rashard Lewis,ORL,29,24,13,11,41.1,107.1,104.6,2.5,12.7,1.4,13.5,3.2,13.4,8.4,9.6,52.3,57,21.8,89.93,12.3,1848
5,Andrew Bynum,LAL,21,23,16,7,17.4,105.5,100.8,4.7,4,0.53,5.8,8.6,13.6,11.1,11,45.7,49.3,18.7,92.66,5,767
5,Dwight Howard,ORL,23,23,12,11,39.2,104.5,104.8,-0.3,9.3,0.64,8.9,11.8,30.2,21,13.9,60.1,63.4,23.3,89.39,18.8,1684
5,Kobe Bryant,LAL,30,23,16,7,40.9,112.3,102,10.3,26,2.14,15.8,2.1,11.3,6.7,7.4,49.2,56.4,32.6,92.17,18.6,1802
5,Lamar Odom,LAL,29,23,16,7,31.9,113.4,99,14.4,8.9,1.08,13.1,9.2,19.6,14.6,12.1,56.8,58.7,17.2,93.23,12.4,1419
5,Pau Gasol,LAL,28,23,16,7,40.5,110.9,101.7,9.2,10.3,1.32,13.2,7.7,19.4,13.8,10,58,62.2,18.7,92.22,15.7,1783
5,Rafer Alston,ORL,32,23,12,11,32.2,105,103.8,1.2,22.4,2.35,21.7,0.4,7.6,4,9.2,44.4,47.1,21.5,90.78,8.2,1406
