 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Chris Bosh,MIA,27,21,14,7,39.7,103.5,99.3,4.2,5.5,0.57,5.5,6.2,16.6,11.5,9.6,47.4,55.3,22.8,87.43,13.5,1522
1,DeShawn Stevenson,DAL,30,21,16,5,15.8,92,103.1,-11.1,6.8,1.2,10.8,0.3,6.1,3.1,9,51.2,53.2,14.2,89.75,3,622
1,Dirk Nowitzki,DAL,33,21,16,5,39.3,112.2,102.5,9.7,13,0.82,8.9,1.7,20.6,11.4,11,51.4,60.9,31.1,88.63,18.7,1535
1,Dwyane Wade,MIA,29,21,14,7,39.4,104.9,101.8,3.2,23.9,1.44,15.1,5.6,13.4,9.6,10.5,50.4,57,29.9,87.99,17.4,1517
1,J.J. Barea,DAL,27,21,16,5,18.6,107.5,111.9,-4.5,33.6,3.09,25.3,2.2,8.5,5.4,8.2,46.5,50,25.5,90.17,10.9,737
1,Jason Kidd,DAL,38,21,16,5,35.4,109.6,100.3,9.3,33.3,2.73,39.8,1.7,11.8,6.9,14.6,53.1,56,14.8,88.18,12.4,1371
1,Jason Terry,DAL,33,21,16,5,32.6,115,104.3,10.7,18,2.09,16.5,1,5.5,3.3,7.9,55.6,60.4,23.2,89.84,12,1285
1,Joel Anthony,MIA,28,21,14,7,27.4,106.4,99,7.4,2.7,0.77,11.5,6.7,10.6,8.7,14.9,36.7,46.3,6.5,85.86,4,1024
1,LeBron James,MIA,26,21,14,7,43.9,105.6,103.8,1.7,27.6,1.86,19.7,4,16.1,10.2,10.6,50.7,56.3,26.3,87.19,16.9,1674
1,Mario Chalmers,MIA,25,21,14,7,24.3,108.6,101,7.7,14.8,1.57,21,0.9,7.4,4.3,13.3,56.5,59,15.4,88.98,7.6,950
1,Shawn Marion,DAL,33,21,16,5,32.9,107,101.1,5.9,11.7,1.25,13.8,7.5,13.1,10.4,11,46.7,50.9,19.4,89.13,10.1,1279
1,Tyson Chandler,DAL,28,21,16,5,32.4,107.8,100.5,7.3,1.9,0.57,5.1,13.1,18,15.6,9,58.2,63.1,10.4,88.19,9.1,1252
13,Mike Bibby,MIA,33,20,14,6,20.7,99.2,104.8,-5.6,9.2,1.35,16.7,1.3,7.5,4.5,12.3,37,37.3,13.3,86.92,2,752
14,Peja Stojakovic,DAL,34,19,14,5,18.4,110.3,108,2.3,3.3,0.78,5,0.9,9.3,5,6.4,52.9,54,17.5,90.56,6.7,672
15,Brendan Haywood,DAL,31,18,14,4,15.3,115.4,108.7,6.8,2.1,0.31,5.9,14.4,14.9,14.7,19.1,58.1,56.1,11.1,90.56,3.2,518
15,Mike Miller,MIA,31,18,12,6,11.9,100.7,89.9,10.9,10.2,1.63,17.6,4.9,18.7,12.4,10.8,44.3,44.3,13.3,91.98,7.8,409
17,Daequan Cook,OKC,24,17,9,8,11.5,111.3,108.3,3,0.8,0.14,1.5,0.6,14.1,7.5,10.6,53.6,55.4,15.1,92.97,5.8,382
17,Eric Maynor,OKC,24,17,9,8,13,103.3,106.5,-3.2,28,2.31,26.6,2.5,7.7,5.2,11.5,43.5,48,20.4,97.42,8.7,450
17,James Harden,OKC,21,17,9,8,31.6,114.4,106.8,7.6,18.2,2.18,23.2,2,14.9,8.6,10.6,55.8,63.4,16.5,94.29,13.5,1054
17,Kendrick Perkins,OKC,26,17,9,8,28.2,103.2,105.7,-2.5,4.3,0.48,10.9,7.9,14,11,22.7,45.3,49,10.1,91.66,3.5,909
17,Kevin Durant,OKC,22,17,9,8,42.5,107.5,103.1,4.4,13.5,1.14,9.5,2.5,16.3,9.6,8.3,50.3,58.2,28.1,93.05,17.3,1395
