 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Bam Adebayo,MIA,25,23,13,10,36.9,112.4,110.3,2.2,16.1,1.37,15.9,7.3,19.6,13.4,11.6,48.1,53,23.4,94.95,11.9,1683
1,Caleb Martin,MIA,27,23,13,10,30.2,116.3,109.3,7,7.8,1.5,12.8,4,14.1,9.1,8.5,63.6,65.7,15.7,94.37,10.7,1365
1,Duncan Robinson,MIA,29,23,13,10,18.2,117.7,109.1,8.6,13.7,1.95,17.8,0.2,8.2,4.2,9.1,63.3,64.1,19.1,95.35,8.9,827
1,Kyle Lowry,MIA,37,23,13,10,26.1,115.1,112.9,2.2,24.3,2.53,30.6,2.1,11.9,7,12.1,52,56.2,17.1,94.81,9.5,1180
1,Max Strus,MIA,27,23,13,10,28.1,110,111.8,-1.8,7.3,5.5,13.9,2.1,10.7,6.3,2.5,51.6,53.8,14,96.34,6.5,1298
6,Gabe Vincent,MIA,27,22,13,9,30.5,111.7,108.9,2.8,17.1,2.52,21.2,1.1,3.4,2.2,8.4,50.6,53.5,19.2,96.36,6,1344
6,Jimmy Butler,MIA,33,22,13,9,39.7,111.7,112.7,-1,25.9,3.15,18.8,5.2,11.3,8.2,6,50,56.5,28.1,95.26,15.8,1737
8,Cody Zeller,MIA,30,21,11,10,8.3,109.7,108.7,1,5.6,0.54,11.3,6.5,21.5,14.1,21,57.1,55.3,13.9,97.66,5.2,352
9,Aaron Gordon,DEN,27,20,16,4,35.6,119.7,107.5,12.2,9.7,2.6,17.4,7.2,9.7,8.5,6.7,56.4,58.8,15.2,96.07,7.9,1432
9,Al Horford,BOS,37,20,11,9,30.8,113.6,108.5,5,12.6,5.36,28.9,5,18.2,11.7,5.4,49.2,49.7,10.4,96.55,8.7,1239
9,Bruce Brown,DEN,26,20,16,4,26.6,116.2,107.6,8.6,10.6,1.65,14.6,3.1,12.1,7.9,8.8,56.3,60.7,18.4,95.47,10.3,1063
9,Derrick White,BOS,28,20,11,9,29.7,113.8,113.2,0.6,10.3,2.33,16.3,2.2,7.2,4.8,7,64.1,67.1,16,96.63,9.4,1192
9,Jamal Murray,DEN,26,20,16,4,39.9,119.4,108.9,10.5,26.9,2.84,22.4,2,12.2,7.2,7.9,54.5,58.6,26.9,96.06,14.8,1604
9,Jaylen Brown,BOS,26,20,11,9,37.6,113,111.4,1.6,15.1,1.03,12.9,3.4,11.2,7.4,12.5,55.1,57,27.2,96.23,10.2,1514
9,Jayson Tatum,BOS,25,20,11,9,40,115.8,111.2,4.6,21.4,1.88,16.8,3.4,22.5,13.3,9,52.4,58.5,29,95.84,16.4,1598
9,Jeff Green,DEN,36,20,16,4,17.2,112.5,115,-2.4,5.4,1.56,14.9,2,7.6,5,9.6,52.4,58.3,10.4,95.78,3.4,687
