 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Dwyane Wade,MIA,30,23,16,7,39.4,109.9,99.9,10,21.1,1.47,15.1,3.9,10.1,7.1,10.3,47.4,52.6,29.2,89.03,14.1,1689
1,LeBron James,MIA,27,23,16,7,42.8,110.2,99.7,10.5,27,1.59,16,6.1,18,12.2,10,52.2,57.6,32.6,89.26,22,1832
1,Mario Chalmers,MIA,26,23,16,7,35.6,106,99.5,6.5,18.3,2.14,24.8,1.6,9.3,5.5,11.6,52.2,55.5,15.8,89.54,9.1,1530
1,Mike Miller,MIA,32,23,16,7,16,110.1,102.9,7.2,7.4,1.42,12.8,2.6,14.1,8.3,9,56.1,57.8,14.5,90.76,8.3,694
1,Shane Battier,MIA,33,23,16,7,33.4,108.9,100.6,8.3,5.4,1.69,14.2,2.1,8,5.1,8.4,52.9,54.7,10.1,88.56,4.9,1418
6,Udonis Haslem,MIA,32,22,15,7,20.6,107.8,101.9,5.9,4.5,0.65,9.4,9,24,16.7,14.5,45.5,51.3,12.9,89.58,8.3,845
7,Brandon Bass,BOS,27,20,11,9,30.4,97.6,99.8,-2.2,4.4,1,6.4,4.6,13.5,9.2,6.4,46.3,54.4,17.5,89.94,9.8,1137
7,Derek Fisher,OKC,37,20,13,7,22.3,110.5,102.9,7.6,8.7,4.17,16.3,0.5,7.1,3.8,3.9,49.2,51.2,13.2,93.71,6.1,870
7,James Harden,OKC,22,20,13,7,31.5,113.9,103.1,10.8,17,1.62,17.8,2.3,14.7,8.7,11,50.9,60.5,22.8,93.82,13.3,1229
7,James Jones,MIA,31,20,14,6,8.6,90.8,100.6,-9.8,2.2,0.5,3.8,3,8.3,5.8,7.7,47.7,53.8,13.5,91.82,7.4,337
7,Kendrick Perkins,OKC,27,20,13,7,25.8,108.4,104.9,3.5,3.5,0.45,9.1,7.1,17.6,12.4,20.3,41.6,47,11.7,92.46,5,988
7,Kevin Durant,OKC,23,20,13,7,41.8,110,105.6,4.5,16.3,1.17,12.5,1.7,16.8,9.3,10.7,57,63.2,28.5,92.8,18,1617
7,Kevin Garnett,BOS,36,20,11,9,36.9,100.8,90.7,10.1,8.3,0.68,7,4.6,23.4,14.5,10.3,49.8,54.1,26.1,89.88,17.3,1379
7,Keyon Dooling,BOS,32,20,11,9,10.6,95.4,94.7,0.7,12.6,4.67,21.2,1,6.1,3.6,4.5,55.2,55.8,12,88.79,5.8,390
7,Mickael Pietrus,BOS,30,20,11,9,19.7,97.7,94.7,3,0.8,0.22,2.2,3.2,7.6,5.5,9.8,41.1,43.1,11,89.67,0.7,733
7,Nick Collison,OKC,31,20,13,7,16.6,108.2,99.4,8.8,8.9,1.58,22.4,9.5,12.1,10.8,14.1,64.7,63.8,9,93.81,6.9,648
7,Paul Pierce,BOS,34,20,11,9,38.9,97.7,98.5,-0.8,14.8,1.11,12.9,1.9,14.1,8.2,11.6,42.9,51.6,25.8,90.25,11.3,1460
7,Russell Westbrook,OKC,23,20,13,7,38.4,112.1,105.7,6.3,27,2.6,18.9,3.1,11.7,7.5,7.3,45.7,50.6,30.2,92.92,13.8,1485
7,Serge Ibaka,OKC,22,20,13,7,28.5,110,106.1,3.9,3.3,1.09,6.1,9.1,12.4,10.8,5.6,53.1,55.8,15.3,90.87,9.4,1075
7,Thabo Sefolosha,OKC,28,20,13,7,22.3,105,105.2,-0.2,8.4,2.36,18.3,2.6,9.7,6.2,7.7,48,50,12,92.9,6.4,862
21,Greg Stiemsma,BOS,26,19,11,8,7.5,89.2,109.2,-20,6.3,1.25,16.7,6.4,25,15.2,13.3,66.7,67.8,8.3,90.3,10.3,268
21,Norris Cole,MIA,23,19,14,5,8.9,100.6,96.7,3.9,10.8,2.4,20.7,0.7,5.1,3.2,8.6,36.5,41.5,12.6,94.23,1.5,332
21,Rajon Rondo,BOS,26,19,10,9,42.6,101.1,99.7,1.4,51.4,3.15,36.3,4.7,12,8.4,11.5,48.2,50.5,23.6,89.59,17.1,1511
24,Ray Allen,BOS,36,18,10,8,34.2,100.4,101,-0.5,4.9,1.06,8.2,1.4,11.5,6.5,7.8,47.9,51.4,15.8,88.58,6.9,1142
25,Joel Anthony,MIA,29,17,11,6,19.4,106.8,101.7,5.2,0.9,0.25,3.9,7,10.7,8.9,15.7,58.6,67.5,7.1,87.73,5.4,599
25,Ryan Hollins,BOS,27,17,9,8,10,84.8,98.7,-13.9,8.8,1.14,17.8,9.6,7.1,8.4,15.6,42.3,43.4,10.5,87.02,0.2,309
27,Daequan Cook,OKC,25,16,11,5,6.8,102.4,104.8,-2.3,6.2,0,9.5,0,9.5,4.4,0,48.6,47.5,16.2,91.18,5.6,205
28,Marquis Daniels,BOS,31,15,8,7,6.1,101.2,89,12.2,5.8,1.5,10.7,1.3,9.4,5.8,7.1,57.9,64.1,13.4,89.14,9.4,167
29,Boris Diaw,SAS,30,14,10,4,24.7,108.9,94.1,14.8,14,2.33,28.5,8.5,12.8,10.7,12.2,57.9,59.2,11.6,93.52,9.4,674
29,Chris Bosh,MIA,28,14,11,3,31.4,108.5,99.6,8.9,3.3,0.4,4,9.2,17.5,13.5,10.1,51.7,57.4,20.5,89.21,14.4,820
29,Danny Green,SAS,25,14,10,4,20.7,113.2,93.1,20.1,7.3,1,11.9,1.2,13.9,8.1,11.9,52.7,54,18.2,91.64,7.6,552
29,Gary Neal,SAS,27,14,10,4,15.5,101.4,110.6,-9.2,16,1.73,16.2,0.5,8.2,4.3,9.4,57.3,59.8,20.5,97.54,9.2,437
29,Kawhi Leonard,SAS,21,14,10,4,27.1,106.5,101.1,5.4,3.1,0.62,6.8,5,17.8,11.4,11.1,60,62.3,13,94.32,10.4,741
29,Manu Ginobili,SAS,34,14,10,4,27.9,105.7,102.4,3.3,24.7,1.33,21.1,2.2,10.1,6.4,15.8,52.8,59.2,23.8,97.35,11.4,791
29,Stephen Jackson,SAS,34,14,10,4,21.3,108.8,108.6,0.2,12.2,1.33,20.2,1.9,7.6,5,15.1,71.8,74.7,14.5,96.93,8.2,602
29,Tim Duncan,SAS,36,14,10,4,33.1,111.3,96.1,15.2,14.3,1.86,13.5,7.4,21.7,14.8,7.3,49.5,52.9,24.9,92.74,15.6,895
29,Tony Parker,SAS,30,14,10,4,36.1,110.6,98.4,12.3,31.4,2.16,23.6,1.7,8.3,5.2,10.9,46.9,53.5,28.1,92.77,13,979
38,Andre Iguodala,PHI,28,13,7,6,38.9,95.1,94.7,0.3,17.4,2.53,19.8,3.2,11.5,7.2,7.8,44.7,47.8,18,90.42,9.2,951
38,Elton Brand,PHI,33,13,7,6,27.4,91.2,94.9,-3.7,3.8,1,5.5,6,11.8,8.8,5.5,46.5,49.5,16.3,89.47,8.5,662
38,Evan Turner,PHI,23,13,7,6,34.6,92,96.9,-4.9,13.6,1.07,13.5,3.1,19.5,11.2,12.7,36.4,41.4,21.6,90.14,8.1,841
38,Jodie Meeks,PHI,24,13,7,6,7.9,98.1,101.9,-3.9,6.6,1,9.8,2,2.1,2,9.8,40.4,54.4,15.9,96.93,4.1,206
38,Jrue Holiday,PHI,22,13,7,6,38,93.1,97.1,-4,26.4,2.58,23,3.3,9.3,6.1,8.9,46.9,51.9,21.2,90.51,13,932
38,Lou Williams,PHI,25,13,7,6,27.6,99.6,95.1,4.5,19.6,2.44,17.8,0.8,6.6,3.7,7.3,38,45.2,23.2,90.68,8.6,681
38,Matt Bonner,SAS,32,13,10,3,12.7,100.6,103.8,-3.2,8.3,3,19.6,1.3,12.4,7.4,6.5,43.8,45.3,10.1,97.94,3.2,335
38,Spencer Hawes,PHI,24,13,7,6,25.5,93.5,95.2,-1.7,12.2,0.95,12.9,5.3,20.7,12.9,13.5,47.2,50.7,20.2,90.2,10.9,626
38,Thaddeus Young,PHI,24,13,7,6,21.3,95.2,98.9,-3.7,10.4,1,11,8.7,16,12.2,11,42.9,47.8,20.4,90.52,9.8,518
38,Tiago Splitter,SAS,27,13,9,4,12.9,104.7,110.8,-6,10.8,1.11,11.8,5.6,16.1,11.4,10.6,63.8,57.6,20.6,97.65,8.2,338
48,Andrew Bynum,LAL,24,12,5,7,37.6,104.8,108,-3.2,7,1.13,8.3,9.5,18.3,13.9,7.3,47.7,54.5,19.8,91.09,14.6,857
48,Jordan Hill,LAL,24,12,5,7,18.1,101,106.2,-5.2,0.8,0.14,1.4,15.9,16.4,16.2,10.1,43.4,47.5,13.4,91.44,7.2,410
48,Kobe Bryant,LAL,33,12,5,7,39.7,104.6,109.1,-4.5,23.4,1.53,12.2,3.1,8.5,5.8,8,46.7,52.5,34.9,91.76,14.1,910
48,Lavoy Allen,PHI,23,12,6,6,19.7,100.7,94.8,5.9,2.2,0.6,4.1,9.1,17.4,13.1,6.8,55.7,56.6,13.9,89.75,10.6,439
48,Pau Gasol,LAL,31,12,5,7,37,101.4,108.1,-6.7,16.8,2.2,20,8.1,16.8,12.3,9.1,44.1,48.2,17.8,90.45,11.4,838
48,Ramon Sessions,LAL,26,12,5,7,31.6,102.2,106.2,-4,17.7,1.95,22.1,0.8,8.6,4.6,11.3,39.5,44.8,18.2,91.25,5.5,720
