 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Glen Davis,BOS,24,24,15,9,20.1,100.1,100.2,-0.1,3.8,0.45,5.3,9.1,15.9,12.5,11.6,47.6,55.1,17.7,90.22,10.2,907
1,Paul Pierce,BOS,32,24,15,9,38.7,104.5,101.7,2.8,15.5,1.28,15.1,2.4,14,8.3,11.8,49.7,56.6,23.3,90.68,12.4,1759
1,Rajon Rondo,BOS,24,24,15,9,40.6,103.9,100.3,3.7,39.5,3.1,33.1,4.3,10.3,7.4,10.7,47.7,50.4,21.6,91.15,14.7,1856
1,Rasheed Wallace,BOS,35,24,15,9,17.1,100.5,100.3,0.3,3.9,1,5.7,1.3,17.1,9.2,5.7,49.2,53.4,17.1,89.6,6.7,765
1,Ray Allen,BOS,34,24,15,9,38.5,105.2,102.2,3,11.7,1.75,14.6,1.4,7.8,4.6,8.4,52.3,57,18.7,89.95,9.3,1738
1,Tony Allen,BOS,28,24,15,9,16.3,96.1,95.7,0.4,8.1,0.74,11,3.5,7.5,5.5,14.9,48,53.6,16.3,92.15,6.6,744
7,Andrew Bynum,LAL,22,23,16,7,24.4,107.5,107.8,-0.4,3.3,0.57,5.8,11.2,18.1,14.7,10.2,53.7,57,16,89.4,10.5,1043
7,Derek Fisher,LAL,35,23,16,7,32.8,114.1,108.5,5.6,12.1,1.78,21,1.2,6.6,3.9,11.8,52.2,57.1,14.3,92,6,1444
7,Jordan Farmar,LAL,23,23,16,7,13.1,102.3,98.4,3.8,18.2,1.6,21.1,0.3,8.6,4.4,13.2,51.1,52.6,18,91.86,8.2,574
7,Kendrick Perkins,BOS,25,23,15,8,25,106.2,98.9,7.3,5.8,0.51,11.8,8.3,18.3,13.6,23,51,54.5,13.5,92.05,6.2,1096
7,Kevin Garnett,BOS,34,23,14,9,33.3,104.3,102.1,2.2,13.9,1.87,14,4.5,19.4,12,7.5,49.5,53,21.8,90.65,14.5,1452
7,Kobe Bryant,LAL,31,23,16,7,40.1,112.4,107.1,5.3,25,1.59,15.8,2.9,12.6,7.7,9.9,50.6,56.7,32.6,91.58,16.5,1762
7,Lamar Odom,LAL,30,23,16,7,29,112.4,105,7.3,11,1.64,15.9,9.1,21.4,15.2,9.7,49.5,51.4,16.4,91.54,10.6,1270
7,Metta World Peace,LAL,30,23,16,7,36.5,113.8,107.7,6.1,8.4,1.96,14.2,4.1,7,5.6,7.2,46.5,47.7,15.9,91.61,5.7,1600
7,Pau Gasol,LAL,29,23,16,7,39.7,111.8,106.2,5.5,14.7,1.84,16.1,10.2,17.9,14.1,8.7,53.9,59.9,20.7,91.93,16.5,1749
