 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Alex Caruso,LAL,26,21,16,5,24.3,112.2,103.6,8.5,15.7,1.9,27.2,3,6.7,4.8,14.3,50,54.3,12.9,101.13,5.7,1078
1,Andre Iguodala,MIA,36,21,14,7,19.5,107.1,107.2,-0.1,11,2.21,27.7,2.7,9.6,6.3,12.5,56.9,58,8.5,101.29,5.5,858
1,Anthony Davis,LAL,27,21,16,5,36.6,117.4,105.8,11.6,15.6,1.38,13,7.4,19.8,13.6,9.4,60.3,66.5,27.1,97.64,19.4,1565
1,Danny Green,LAL,33,21,16,5,25,120.9,105,15.8,6.3,2.17,12.1,5,7.9,6.5,5.6,46.2,47.3,15.5,96,4.8,1049
1,Duncan Robinson,MIA,26,21,14,7,28.6,114.1,112.9,1.2,9.4,2.38,15.8,0.9,9.4,5.1,6.6,60.2,63.6,15.1,97.21,6.8,1220
1,Jae Crowder,MIA,29,21,14,7,31.4,110.3,111.3,-1,9.3,2.6,14.2,1.7,16.7,9.2,5.5,54,57,16.1,96.84,8.6,1326
1,Jimmy Butler,MIA,30,21,14,7,38.4,114.1,111.6,2.5,26.2,2.15,22.4,6,11.3,8.7,10.4,51.4,61.6,24.4,96.55,15,1627
1,Kentavious Caldwell-Pope,LAL,27,21,16,5,29,116.9,110.7,6.2,6.2,1.87,11.5,1.3,6.2,3.7,6.2,53.7,56,15.2,96.95,6,1228
1,Kyle Kuzma,LAL,24,21,16,5,23,111.4,110.2,1.1,5.2,0.81,7.3,3.8,10,6.9,9,50.3,53.5,18.8,101.16,5.9,1022
1,LeBron James,LAL,35,21,16,5,36.3,115.5,104.5,10.9,42.1,2.19,26,3.9,26.1,15.3,11.8,61.8,64.7,29.6,98.34,23.5,1558
1,Markieff Morris,LAL,30,21,16,5,18.4,111.9,104.9,7,7.5,1.18,14.5,3.4,13.6,8.7,12.3,59.7,60.8,13.5,97.06,6,781
1,Tyler Herro,MIA,20,21,14,7,33.6,111.3,112,-0.6,17.9,1.83,18.3,1.1,14.4,7.9,10,52,55.7,21.7,96.71,10.3,1428
13,Bam Adebayo,MIA,22,19,13,6,36.2,114.2,109.5,4.7,20.3,1.79,20.8,7.2,22.3,14.9,11.6,56.4,62.5,20.7,96.65,14.6,1382
13,Jamal Murray,DEN,23,19,9,10,39.6,114.2,113.9,0.3,29.5,2.38,21.8,2.9,10,6.5,9.2,59,62.6,27,94.67,15.6,1487
13,Jerami Grant,DEN,26,19,9,10,34.4,110.5,116,-5.5,5.6,1,10,1.3,8.7,5.1,10,49.4,55.6,15.7,95.35,5.2,1296
13,Mason Plumlee,DEN,30,19,9,10,10.9,104.3,105.1,-0.8,18.2,2.27,30.9,13.9,14,14,13.6,48.7,51.9,11.4,98.78,7.5,418
13,Michael Porter Jr.,DEN,22,19,9,10,23.7,116.3,110.4,5.9,5.2,0.64,7.2,4.8,25.7,14.9,11.3,57.9,60.2,19.6,97.25,11.6,914
13,Monte Morris,DEN,25,19,9,10,21.4,108.7,118.7,-10.1,20,5.2,24.8,1,6.8,3.9,4.8,54.1,58.1,17,98.52,9.9,832
13,Nikola Jokic,DEN,25,19,9,10,36.5,114.6,117.2,-2.6,27.7,1.76,19.8,5.9,23.4,14.8,11.3,58,61.4,28.9,94.47,16.6,1376
13,Paul Millsap,DEN,35,19,9,10,24.2,110.9,114.4,-3.5,7.2,0.92,12.1,6.1,14.4,10.3,13.2,46.2,53.6,16.6,94.61,6.3,902
13,Torrey Craig,DEN,29,19,9,10,19.8,108.8,118,-9.2,4.8,1.44,12.3,3.5,13.7,8.4,8.5,49.4,51.4,11,96.32,4.3,746
22,Dwight Howard,LAL,34,18,13,5,15.7,113,113.3,-0.3,4.5,0.56,8.8,11.5,18.6,15,15.7,69.3,67.7,14.2,97.29,7.9,570
23,Brad Wanamaker,BOS,30,17,10,7,16,104.2,102.5,1.7,17,1.67,26.1,0.7,10.5,5.8,15.7,58.3,62.6,13.3,99.7,8.1,568
23,Daniel Theis,BOS,28,17,10,7,28.3,108.9,104.4,4.5,8,1.67,14.7,6.8,17.3,12.3,8.8,53.8,57.8,13.5,96.46,9,964
23,Goran Dragic,MIA,34,17,12,5,32.5,111.2,105.5,5.6,23.4,1.92,18.4,2.4,10,6.3,9.6,51.3,54.9,26,98.26,10.9,1139
23,Grant Williams,BOS,21,17,10,7,10,106.1,99.7,6.4,5.4,1.5,14.6,4.3,9.8,7.3,9.8,76.9,77.3,9.2,98.49,5.1,344
23,Jaylen Brown,BOS,23,17,10,7,39.5,111.2,107.3,3.9,10,0.95,9.9,3.6,14.4,9.2,10.5,55,58.6,23.3,96.11,12.3,1343
23,Jayson Tatum,BOS,22,17,10,7,40.6,110.1,103.9,6.2,21.1,1.77,16.4,3.2,19.8,11.9,9.3,50.4,56.3,27.5,97.18,16.4,1400
23,Kelly Olynyk,MIA,29,17,10,7,15.2,112.1,101.5,10.6,11.8,1.46,13.7,5.4,21.9,14.6,9.4,56.3,60.6,20.5,98.9,13.1,531
23,Kemba Walker,BOS,30,17,10,7,36.9,112.1,106,6.2,21.8,2.69,21.2,1,9.5,5.4,7.9,51.8,57.3,22.5,97.08,11.7,1269
23,Marcus Smart,BOS,26,17,10,7,38.1,112,105.4,6.6,18,1.73,22.7,1.6,11.5,6.8,13.1,49.7,55.2,18.1,96.68,8.7,1306
32,Rajon Rondo,LAL,34,16,12,4,24.7,117.6,111.8,5.8,36.2,3.09,39,3.7,15.5,9.7,12.6,53.7,55.3,18,99,11.7,814
33,Derrick Jones Jr.,MIA,23,15,9,6,6.5,90.3,103.3,-13,12.7,3.5,25,6.2,5.7,5.9,7.1,58.8,57.3,9.2,104.15,6.2,206
33,Kendrick Nunn,MIA,24,15,9,6,15.9,106.1,105,1.1,14,1.67,15.6,1.3,10.7,6.3,9.4,45.7,48.2,19.8,99.74,6.6,494
35,Gary Harris,DEN,25,14,7,7,27.1,108.4,108.2,0.2,9.4,1.14,16.4,2,5.5,3.8,14.4,48.3,52.2,14.6,95.1,3.2,750
35,JaVale McGee,LAL,32,14,11,3,9.7,112.5,106.1,6.5,6.9,0.78,14.6,11.6,19.6,15.7,18.8,62.5,62.3,12.6,99.27,8.6,279
37,Ivica Zubac,LAC,23,13,7,6,24.6,121.5,103.8,17.7,3.3,0.67,7,10.1,20.4,15.2,10.4,56.4,62.6,14.6,97.94,9.6,651
37,JaMychal Green,LAC,30,13,7,6,17.1,106.6,111.5,-4.9,4.6,1.4,9.9,5.8,16.4,11,7,65.5,67,12.2,101.54,8.4,470
