 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Antonio McDyess,DET,30,25,15,10,20,100.3,94.8,5.5,7.2,0.76,7.9,9.5,20.9,15.2,10.4,48.6,51.1,21,86.91,12.6,905
1,Ben Wallace,DET,30,25,15,10,39,103.8,98.9,4.9,4.2,0.83,8,9.8,20.8,15.1,9.6,48.1,48.9,14,86.58,11.5,1760
1,Chauncey Billups,DET,28,25,15,10,39.5,104.9,98.7,6.3,28.7,3.31,26.6,2.4,9.3,5.8,8,49.3,57.7,21.5,86.66,15,1784
1,Lindsey Hunter,DET,34,25,15,10,14.9,95.9,93.2,2.8,18.4,2.6,22,2.6,8.4,5.4,8.5,35.4,39.1,17.2,89.6,5.7,687
1,Rasheed Wallace,DET,30,25,15,10,33,104.7,96.8,7.9,7,0.84,7.9,4.9,18,11.3,9.4,48.5,51.1,21.4,86.74,10.8,1489
1,Richard Hamilton,DET,27,25,15,10,43.2,103.9,97.9,6,18.6,1.37,16,2.8,7.9,5.3,11.7,46.5,51.2,24.7,86.75,10,1952
1,Tayshaun Prince,DET,25,25,15,10,40.8,104.8,97.3,7.4,13.8,2.24,18.3,5.6,10.8,8.1,8.1,46.9,50.4,17.2,86.61,10.6,1839
8,Brent Barry,SAS,33,23,16,7,23.8,103.7,102.3,1.3,13.2,1.63,24.2,2.5,8.2,5.4,14.8,59,61.7,11.4,90.79,7.7,1040
8,Bruce Bowen,SAS,34,23,16,7,35.4,107,106.8,0.2,6.7,2.4,19.3,1.2,7.3,4.3,8,47.3,48.7,8.7,87.81,2.8,1487
8,Manu Ginobili,SAS,27,23,16,7,33.7,111.4,100.6,10.8,22.2,1.47,18.5,2.7,15.3,9.1,12.6,58,65.2,25,91,17.9,1475
8,Nazr Mohammed,SAS,27,23,16,7,23.1,102.6,102.4,0.2,2.6,0.33,4.5,15.1,15.7,15.4,13.5,53.2,55.9,14.7,89.05,9.8,986
8,Robert Horry,SAS,34,23,16,7,27.1,112.3,103.2,9.2,12.1,2.35,18.9,8,13.6,10.8,8,56.4,59.1,14.8,90.47,11.6,1178
8,Tim Duncan,SAS,29,23,16,7,37.6,108,103.8,4.2,14.8,1.02,9.8,10.8,23.7,17.4,9.7,46.5,52.6,30.9,88.44,18.3,1598
8,Tony Parker,SAS,23,23,16,7,37.2,110.3,106.6,3.6,21.3,1.41,17.4,1.7,6.5,4.1,12.3,46.6,49,25.7,88.65,7.8,1583
15,Beno Udrih,SAS,22,21,14,7,11.4,100.4,90.7,9.7,18.2,1.1,17.3,1.7,5.2,3.5,15.7,42.3,46.3,19.8,92.39,5.3,454
16,Carlos Arroyo,DET,25,19,13,6,8.1,92.7,96,-3.2,39,3.9,39,0.6,6.2,3.2,10,35.6,39.8,17.1,94.1,7.2,303
17,Alonzo Mourning,MIA,35,15,11,4,17,98.4,98.4,0,3.4,0.23,5.3,9.4,18,14.2,23.2,70.5,68,16,95.72,10.8,503
17,Amar'e Stoudemire,PHX,22,15,9,6,40,115.7,113.3,2.3,5,0.38,4.2,10.8,16.5,13.7,10.9,53.9,61.6,30.4,95.68,15.1,1194
17,Damon Jones,MIA,28,15,11,4,33.5,106.4,99.5,6.9,19.5,3.53,27.4,0.7,6.9,4.2,7.8,63.2,63.6,14.6,92.84,11.5,976
17,Eddie Jones,MIA,33,15,11,4,40.3,105.9,98.6,7.3,10.2,1.77,16.9,1.9,11.7,7.4,9.5,55.8,58.7,14.8,91.86,10.1,1160
17,Jim Jackson,PHX,34,15,9,6,31.5,115.5,111.8,3.8,6.4,2.2,13.4,2.9,9.6,6.5,6.1,61.2,62.3,13.2,95.48,7.8,933
17,Keyon Dooling,MIA,25,15,11,4,17.5,100.6,101,-0.4,16.6,1.79,18.4,0.4,5.7,3.2,10.3,53.4,57.1,20,92.32,8.4,500
17,Quentin Richardson,PHX,25,15,9,6,37.6,114.7,110.2,4.6,5.9,1.67,11.8,4.4,9.1,6.8,7.1,50.6,52.7,14.3,97.44,5.5,1139
17,Rasho Nesterovic,SAS,29,15,11,4,7.6,97.3,86.8,10.5,2.7,0.5,10.5,9.7,11.7,10.8,21.1,41.7,38.8,6.8,93.82,2.4,219
17,Shawn Marion,PHX,27,15,9,6,42.3,117,112.5,4.5,5.2,1.1,8.2,7.4,19.7,13.8,7.4,52.5,55,17.6,96.76,11.6,1279
17,Steve Nash,PHX,31,15,9,6,40.7,117,112.5,4.5,42.8,2.43,31.8,1.6,9.9,6,13.1,55.9,60.4,25.9,96.86,15.8,1237
17,Steven Hunter,PHX,23,15,9,6,14.3,114.3,99.3,15,1.8,0.38,4.7,8.8,8.6,8.7,12.5,55.8,57.9,12.9,93.96,5.6,414
17,Udonis Haslem,MIA,25,15,11,4,36.4,105.4,98.4,7,4.2,0.83,9.4,8.3,19.4,14.5,11.3,49.1,54.7,12.4,91.18,10.5,1039
29,Darvin Ham,DET,31,14,9,5,1.2,69.2,102.4,-33.2,0,0,0,17.6,0,9.1,0,33.3,51.5,9.3,109.88,2.9,39
29,Dwyane Wade,MIA,23,14,11,3,41,107.4,100.5,7,31.3,1.5,18.6,4.7,9.3,7.3,12.4,48.6,56.1,32.6,93,17.8,1116
29,Ronald Dupree,DET,24,14,9,5,2.8,86.7,97.3,-10.6,0,0,0,6.3,9.1,7.9,12.5,28.6,28.6,9.4,92.17,-2.9,75
32,Anthony Johnson,IND,30,13,6,7,24.2,91.3,97.9,-6.6,42.6,2.64,35.7,1.3,11.4,6.3,13.5,40.3,49,17.9,87.32,12.2,573
32,Christian Laettner,MIA,35,13,10,3,10.3,97.1,97.7,-0.7,8.3,1.17,17.5,2.4,14.7,9.1,15,50,54.4,11,97,8.3,274
32,Dale Davis,IND,36,13,6,7,24.3,94.4,96.9,-2.5,3,0.56,6,11.9,15.2,13.5,10.8,44.8,50,11.7,87.81,7.5,574
32,Dirk Nowitzki,DAL,27,13,6,7,42.6,110,112.6,-2.6,12.9,1.3,11.3,4.4,19.8,11.9,8.7,42.2,50.5,26.7,94.48,13.2,1089
