 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Anderson Varejao,CLE,24,20,12,8,22.4,98.5,87.4,11.1,4.7,0.55,7.7,10.2,16.9,13.4,14.1,51.1,53.5,13.7,87.83,11.7,820
1,Bruce Bowen,SAS,36,20,16,4,34.4,103.9,100.5,3.3,5.7,1.86,16,1.9,10.2,6.2,8.6,53.4,53.4,9.3,89.83,5.6,1286
1,Daniel Gibson,CLE,21,20,12,8,20.1,104.6,96.1,8.5,9.3,2.33,13,2.2,6,4.1,5.6,54.7,61.1,16.1,88.08,10.7,742
1,Drew Gooden,CLE,25,20,12,8,30.3,100.3,100.5,-0.3,6.3,0.74,7.6,8.7,18.5,13.7,10.2,49.3,52.3,19.3,87.45,11.2,1102
1,Fabricio Oberto,SAS,32,20,16,4,20.8,107.9,96.8,11,5.2,1.4,12.4,10.8,13.7,12.3,8.8,62.5,62.8,11.1,91.19,8.6,789
1,Francisco Elson,SAS,31,20,16,4,11.5,96.5,103.4,-7,1.5,0.11,2.7,10.8,17.8,14.5,25.7,59.1,62.5,14.8,89.74,7.1,425
1,Jacque Vaughn,SAS,32,20,16,4,10.4,96.2,95.3,0.8,23.9,2.55,30.4,0.5,3.7,2.1,12,40,40.8,14.1,92.21,2.8,390
1,LeBron James,CLE,22,20,12,8,44.6,101.7,98.2,3.5,37.1,2.41,22.5,3.1,15.7,9.4,9.3,44.2,51.6,29.3,86.63,19.1,1619
1,Manu Ginobili,SAS,29,20,16,4,30.1,107.4,100.7,6.7,21.4,1.76,17.9,2.8,16.2,9.6,10.2,47.8,55.9,25.6,93.38,14.4,1177
1,Michael Finley,SAS,34,20,16,4,26.9,107.1,102.4,4.7,6.5,1.69,9.7,1.6,9.3,5.6,5.8,53.4,57.6,17.4,91.5,9.5,1032
1,Sasha Pavlovic,CLE,23,20,12,8,30.8,97.2,101.5,-4.3,9.6,0.89,11.7,2.1,6.5,4.3,13.1,43.4,44.7,18.6,87.68,2.7,1131
1,Tim Duncan,SAS,31,20,16,4,36.8,107.8,101.8,6,17.3,1.1,12.3,10.6,21.4,16.2,11.2,52.1,55.6,29.5,89.85,17.9,1378
1,Tony Parker,SAS,25,20,16,4,37.5,107.5,102.3,5.2,28.7,1.74,20,2,7.3,4.7,11.5,49,52.3,28.7,90.87,12.3,1426
1,Zydrunas Ilgauskas,CLE,32,20,12,8,32.4,99.5,104.7,-5.2,5,0.53,6.2,10.7,21.6,16.1,11.6,49.2,55.3,19,86.17,12.4,1172
15,Brent Barry,SAS,35,19,15,4,11.8,99.3,99.5,-0.2,15.2,1.91,22.6,1.8,9.1,5.5,11.8,47.5,48.5,14.4,93.13,6.2,438
15,Donyell Marshall,CLE,34,19,11,8,10.7,101,88.7,12.3,4.5,1,6,5.4,15,9.9,6,43.5,45.4,17.4,90.64,5.7,388
15,Eric Snow,CLE,34,19,11,8,12.8,88.8,94.6,-5.8,23.2,3.63,35.4,2.8,8.7,5.7,9.8,31.6,36.2,9.8,92.95,5.8,464
18,Larry Hughes,CLE,28,18,12,6,35.5,99.2,101,-1.8,12.4,1.05,14,1.5,10,5.8,13.4,39.4,45,20,87.62,6.7,1171
18,Robert Horry,SAS,36,18,14,4,20.1,100.6,97.1,3.5,12.6,2.07,26.1,4.6,14.9,9.9,12.6,52.5,57.1,10.4,92.1,10.4,699
20,Andrei Kirilenko,UTA,26,17,9,8,31,106,105.4,0.6,12.8,1.26,19,5.7,12.3,9.1,15.1,45.9,54.1,15.8,93.9,8.6,1029
20,Carlos Boozer,UTA,25,17,9,8,38.5,106.7,106.3,0.4,14.5,0.98,11.2,8.9,24.4,16.8,11.4,53.6,57.6,27,93.8,17.5,1278
20,Deron Williams,UTA,23,17,9,8,38.6,105.3,104.4,0.9,38.1,2.15,28.1,1.4,10.4,5.9,13.1,48.7,53.5,25.2,93.47,13.5,1278
20,Gordan Giricek,UTA,30,17,9,8,18,99.5,98.5,1,8.6,0.77,12.4,1.3,7.7,4.6,16.1,49.5,53,16.9,95.35,4.1,610
20,Matt Harpring,UTA,31,17,9,8,25.5,103.2,101.5,1.7,8.9,1.05,11.4,7.8,12,9.8,10.9,45.6,50.4,17.9,93.54,8.5,845
20,Mehmet Okur,UTA,28,17,9,8,34.4,104,105.1,-1.1,8.1,1.25,11.8,6.6,17.3,11.9,9.4,45.6,49.6,17,93.23,8.6,1137
20,Paul Millsap,UTA,22,17,9,8,15.5,101.2,95.8,5.4,5.5,0.62,7.1,13.9,15.1,14.5,11.5,52.5,55.2,17.1,93.31,12.1,505
27,Antonio McDyess,DET,32,16,10,6,22.1,95.3,94.2,1.2,10.1,1.06,11.8,11.2,20.6,15.8,11.2,34.9,39.6,17.6,87.75,9.1,642
27,Carlos Delfino,DET,24,16,10,6,8.4,81.4,108.6,-27.2,12.7,1.14,14.5,4.3,11.5,7.8,12.7,44.6,46.7,15.7,91.19,7.7,258
27,Chauncey Billups,DET,30,16,10,6,40.5,107,98.3,8.7,25.2,1.98,23.9,1.2,7.4,4.3,12.1,52.6,61.2,21.3,87.34,14,1184
27,Chris Webber,DET,34,16,10,6,25.2,105.8,105.6,0.3,10.9,0.96,12.3,9.5,18.4,13.8,12.8,52.4,53.5,20.5,85.62,10.4,721
27,Derek Fisher,UTA,32,16,8,8,27.8,102.2,102,0.2,15,2.21,21,1,5.3,3.1,9.5,45.5,54,16.1,92.63,6.5,860
27,Rasheed Wallace,DET,32,16,10,6,35.8,107.5,98.6,8.9,8.9,1.47,10.7,3.5,19.1,11.4,7.3,50,53.6,19.6,86.77,12.7,1036
27,Richard Hamilton,DET,29,16,10,6,39.9,104.7,101,3.7,18.4,1.94,15.7,5.1,6,5.6,8.1,44.4,51.7,23.8,87.49,10.4,1161
27,Tayshaun Prince,DET,27,16,10,6,41.6,107.5,98.9,8.6,15.9,2,19.2,4.4,11.9,8.2,9.6,46,50.3,18.2,86.92,11,1206
35,Jason Maxiell,DET,24,14,8,6,10.5,99.6,99,0.7,2.9,0.29,3.8,8.3,15.1,11.8,13.5,66.7,64.9,15.9,92.6,11.6,278
36,Jarron Collins,UTA,28,13,6,7,8.4,101.9,94,7.9,6.8,5,21.7,7.3,11.8,9.4,4.3,33.3,45.5,7.3,93.05,1.4,209
36,Lindsey Hunter,DET,36,13,8,5,10.3,84.1,97.3,-13.2,22.2,1.6,27.1,1.4,5.7,3.5,16.9,29,34.6,14.6,92.03,-0.5,252
38,Antoine Wright,NJN,23,12,6,6,13.6,84.9,91.8,-6.9,1.3,0.2,2.1,3.2,11.2,7.2,10.6,51.4,56.9,12.8,96.39,8.7,325
38,Bostjan Nachbar,NJN,26,12,6,6,23.4,100.5,102.8,-2.2,12.3,1,12.8,2,11.6,6.9,12.8,51.6,56.8,20.2,93.45,8.5,549
38,Flip Murray,DET,27,12,7,5,11.3,94.8,100,-5.2,18.9,1.75,24.1,1.5,5.8,3.6,13.8,35.5,41.9,15.5,87.8,3.8,250
38,Jason Collins,NJN,28,12,6,6,27.4,99.3,94.3,5,0.9,0.13,4.4,5.1,7.6,6.3,35.6,57.1,54.2,6.2,89.33,-0.7,610
38,Jason Kidd,NJN,34,12,6,6,40.3,102.9,96.6,6.3,48,3.2,39.5,5.1,23.1,14.3,12.3,54.7,55,19.7,89.91,20.2,910
38,Josh Boone,NJN,22,12,6,6,9.8,93.9,103,-9.1,4.5,1,7.3,6.6,11.1,8.9,7.3,50,52.1,15.3,94.91,3.8,229
