 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Andre Iguodala,GSW,32,24,15,9,32,110.5,106,4.5,16.3,3.91,29.7,4.3,8.7,6.5,7.6,55.2,56.3,11.8,98.94,9.1,1578
1,Harrison Barnes,GSW,24,24,15,9,30.9,107.2,104.7,2.6,5.8,1.67,10.9,3.5,10.1,7,6.5,44.6,47.4,14.4,98.03,6.1,1519
1,Klay Thompson,GSW,26,24,15,9,35.4,108.7,105.3,3.4,11.3,1.15,9.1,1.7,7.6,4.8,7.9,55.2,58.8,27.5,98.79,12.4,1749
1,Marreese Speights,GSW,28,24,15,9,8.4,98.6,97.9,0.7,10,0.55,6.7,7.1,15.3,11.2,12.3,46.6,50.9,32.2,100.86,7.7,424
1,Shaun Livingston,GSW,30,24,15,9,21.4,110.1,101.4,8.7,23.6,2.76,27.3,2.5,10.8,6.8,9.9,48.8,53.2,17.6,99.68,10.7,1061
6,Draymond Green,GSW,26,23,15,8,38.2,111.9,103.8,8.1,22.8,2.46,26.6,4.3,18.9,12,10.8,50,54.9,18.7,98.47,13.7,1801
6,Festus Ezeli,GSW,26,23,14,9,8.8,108,107.5,0.5,6,0.57,7.1,11.6,18.9,15.3,12.5,53.6,52.6,21.1,103.26,6.4,435
6,Leandro Barbosa,GSW,33,23,14,9,11.1,106.3,100.6,5.7,9.4,1.36,12.1,4.6,6.1,5.4,8.9,64.2,66.3,18.7,99.54,11.3,528
9,Andrew Bogut,GSW,31,22,15,7,16.6,104.1,99.5,4.6,12.7,1.58,22.6,12.3,17.4,15.1,14.3,62.3,60.7,12.2,96.83,10.9,737
10,Iman Shumpert,CLE,26,21,16,5,17.5,108.4,105.2,3.2,6.9,1.31,17.9,3.1,10.5,6.9,13.7,52.5,54,10.1,91.59,4.5,690
10,JR Smith,CLE,30,21,16,5,34.8,118.6,106.8,11.8,5.5,2.64,12.2,1,8.4,4.7,4.6,60.9,61.3,12.8,92.29,6.8,1404
10,Kyrie Irving,CLE,24,21,16,5,36.8,117.7,107.7,10,22.2,2.04,16.3,2,6.3,4.1,8,53.5,57.4,29.3,92.62,13.8,1491
10,LeBron James,CLE,31,21,16,5,39.1,116.8,103.3,13.4,34.9,2.13,22.8,5.3,19.3,12.4,10.7,56.4,58.5,30.1,91.29,19.9,1563
10,Richard Jefferson,CLE,36,21,16,5,18.2,109.5,103.1,6.4,5.5,1.08,11.7,4.5,15.8,10.3,10.8,58.9,61.4,12.8,93.04,8.8,737
10,Tristan Thompson,CLE,25,21,16,5,29.6,115.2,104,11.2,3.3,0.88,9.4,14,16.6,15.3,10.6,52.7,55.9,10.5,92.12,7.7,1194
16,Bismack Biyombo,TOR,23,20,10,10,25.3,102.2,106.1,-3.9,2.5,0.38,6.2,10.2,28,18.7,16.3,58,61.1,10.9,90.92,12,959
16,Cory Joseph,TOR,24,20,10,10,22.6,95.4,104.9,-9.5,20.8,2.14,20.3,2.3,7.7,4.7,9.5,49.3,52.4,18.5,91.63,9.3,864
16,DeMar DeRozan,TOR,26,20,10,10,37.3,102.4,107.8,-5.4,14.3,1.2,9.8,1.7,10.4,5.7,8.2,39.9,46.2,30.1,91.69,9,1426
16,DeMarre Carroll,TOR,29,20,10,10,29.8,104.2,106.9,-2.7,4.6,0.94,8.1,3.8,10.7,7.1,8.5,47.2,50.6,14.8,91.01,5.4,1128
16,Kevin Love,CLE,27,20,15,5,30.6,120.2,106.9,13.3,10.2,1.56,12.3,5.6,23.9,14.7,7.9,48.1,53.9,22.1,91.14,12.4,1166
16,Kyle Lowry,TOR,30,20,10,10,38.3,105.6,104.6,1.1,27.7,1.89,21.4,2.3,11,6.5,11.3,46.1,50.8,26.3,90.34,11,1440
16,Matthew Dellavedova,CLE,25,20,15,5,12.1,105.3,101.3,4.1,37.8,4,36.1,1.7,4.9,3.3,9,40.5,46.1,18.8,93.86,6.6,469
16,Patrick Patterson,TOR,27,20,10,10,29.1,106.4,109.2,-2.8,6.4,1.33,12.7,5.1,9.3,7.1,9.5,48.2,51.9,13,90.57,6.3,1102
16,Terrence Ross,TOR,25,20,10,10,16.8,90.9,107,-16.1,6.4,0.69,7.1,1.1,9.6,4.9,10.3,47.5,49.3,19.4,91.62,6.5,647
25,Andre Roberson,OKC,24,18,11,7,26.2,109.1,103.1,6,4.1,1.27,11.6,5.1,15.7,10.3,9.1,53.5,52.7,9.7,97.55,6.9,951
25,Dion Waiters,OKC,24,18,11,7,27.3,110.2,103.7,6.5,12.7,2.1,20.3,1.2,8,4.7,9.7,49.6,52,14.3,96.57,5.9,988
25,Enes Freedom,OKC,24,18,11,7,18,106.8,102.3,4.5,2.9,0.29,3.1,14.5,18.9,16.7,10.6,55.9,61.7,20.4,96.08,14.9,646
25,Kevin Durant,OKC,27,18,11,7,40.3,111.8,104.3,7.5,14.4,0.92,10.2,1.8,15.3,8.6,11,46.8,54.2,31.2,97.28,13.8,1465
25,Norman Powell,TOR,23,18,8,10,11.4,92.9,97.5,-4.6,5.8,1.2,7.1,1.7,12.4,6.4,5.9,43.6,46.2,16.9,91.92,8.1,394
25,Russell Westbrook,OKC,27,18,11,7,37.4,115.3,106.5,8.8,48.4,2.54,27,5.9,11.9,8.9,10.7,44.8,51.5,33.5,97.24,17,1365
25,Serge Ibaka,OKC,26,18,11,7,33.5,115.7,105.2,10.5,2.4,1.11,5.3,3.8,14.3,9.1,4.7,61.7,62.9,12.8,97.29,9.1,1219
25,Stephen Curry,GSW,28,18,11,7,34.1,110,106.9,3.1,26.7,1.24,17.3,2.2,12.6,7.5,13.9,55.6,60.3,30.8,99.51,15.6,1277
25,Steven Adams,OKC,22,18,11,7,30.7,111.2,106.6,4.6,3.4,0.76,7.5,10.8,19.8,15.2,9.8,61.3,63.6,12.5,94.9,10.4,1090
34,Anderson Varejao,GSW,33,17,11,6,5.5,111.7,100,11.7,20,6.5,34.2,11.7,10.3,11.1,5.3,35.7,44.7,11.3,98.18,4.9,188
34,Channing Frye,CLE,33,17,12,5,14,113,97,16,3.2,1,6.1,2.4,15.5,9.3,6.1,78.3,79.1,15.1,93.46,12.2,462
36,Ian Clark,GSW,25,16,10,6,9.6,99.1,96,3.1,17,1.78,19.5,1.2,9.1,5.2,11,54.7,57.5,18.3,102.54,10.3,331
36,Randy Foye,OKC,32,16,10,6,11.9,99.5,102.9,-3.4,11.1,1.18,19.4,1.1,9,5.1,16.4,43.9,46.8,12.2,96.43,3.2,383
38,Dahntay Jones,CLE,35,15,11,4,3.3,74.3,76.5,-2.2,9.1,2,11.1,0,11.7,6.3,5.6,50,55.9,13.9,99.3,15.5,105
39,Anthony Morrow,OKC,30,14,8,6,5.4,98.1,99.4,-1.2,2.3,0.25,3,0,2.2,1.2,12.1,56.3,65.1,17.4,99.74,7.9,160
