 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,JR Smith,CLE,32,22,12,10,32.1,110.7,112.1,-1.4,5.2,1.32,10.4,1.5,7.6,4.5,7.9,46.5,48.6,13.9,93.36,3.7,1377
1,Jeff Green,CLE,31,22,12,10,23.8,104.4,108.6,-4.2,9.8,1.88,15.1,1.3,8.7,5.1,8,48.2,52.4,15.5,93.86,6.5,1027
1,Kyle Korver,CLE,37,22,12,10,22.9,109.3,106.6,2.7,5.8,1.36,10.5,1.2,9.6,5.4,7.7,57.8,60.4,14.5,93.29,6.8,989
1,LeBron James,CLE,33,22,12,10,41.9,109.7,112.3,-2.6,45.3,2.11,22.2,3.5,19.4,11.5,10.5,57.7,61.9,34.4,92.52,22.4,1787
5,Draymond Green,GSW,28,21,16,5,39,112.6,100.8,11.8,27.4,2.71,38.2,5.5,20,13.4,14.1,48.7,52.9,15.2,97.43,12.5,1655
5,Kevin Durant,GSW,29,21,16,5,38.4,115.1,102.2,12.9,20,1.98,15.1,1.7,16.9,10,7.6,54.1,60.6,30.3,98.28,17.5,1650
5,Kevin Love,CLE,29,21,11,10,31.4,108.1,110.2,-2.1,8.7,0.83,9,7.7,27.9,17.4,10.8,45.7,51.1,23.6,92.02,12.2,1272
5,Kevon Looney,GSW,22,21,16,5,18.4,105.5,98,7.5,7,2.38,17.4,10.4,10.8,10.6,7.3,54.2,52.9,9.8,101.27,6.2,815
5,Klay Thompson,GSW,28,21,16,5,37.8,111.5,101.7,9.8,7.3,1.23,9,1.5,8.7,5.4,7.3,56.3,57.9,21.6,97.65,9.1,1610
5,Shaun Livingston,GSW,32,21,16,5,17.2,110,102.3,7.7,12.8,1.94,18.5,3.1,9.5,6.4,9.5,53.6,57.9,16.1,99.42,8.3,750
11,Larry Nance Jr.,CLE,25,20,10,10,15.3,98.8,105.6,-6.8,9.9,1.5,17.3,11.3,17.3,14.3,11.5,68.3,65.2,12.5,94.67,12.8,605
11,Nick Young,GSW,33,20,15,5,10.3,101.6,98.8,2.7,2.8,2,6.5,0.4,4.9,2.6,3.2,43.4,46,11.3,102.2,1.3,442
13,Al Horford,BOS,32,19,11,8,35.7,108.8,103.7,5.1,15.5,1.97,19,4.7,19.3,11.9,9.6,58.1,63.1,18.2,93.83,14.9,1328
13,Aron Baynes,BOS,31,19,11,8,20.5,103.3,107.3,-3.9,7.7,2.38,15.2,11,18.5,14.7,6.4,56.7,58.8,12.1,94.13,10.3,755
13,George Hill,CLE,32,19,10,9,29.3,111.2,110.5,0.7,11,1.91,19.1,2.5,5.3,3.9,10,51.1,56.7,14.6,93.13,5.4,1085
13,Jayson Tatum,BOS,20,19,11,8,35.9,106.7,102.5,4.2,13.1,1.27,13.1,1.5,11.1,6.2,10.3,51.5,57.8,23,94.23,11.2,1338
13,Jordan Clarkson,CLE,26,19,12,7,15,102.9,112.1,-9.2,7,1,8.6,3,8.6,5.7,8.6,34.6,35.8,21.5,92.8,1.9,558
13,Marcus Morris Sr.,BOS,28,19,11,8,29.6,106.6,106,0.6,6.2,1.11,7.3,3.5,15.4,9.2,6.6,43.5,47.4,21.3,95.15,6.2,1119
13,Terry Rozier,BOS,24,19,11,8,36.6,107.2,106,1.2,25.8,4.95,25.8,1.1,13.9,7.3,5.2,50.2,53.8,20.4,94.23,12.8,1367
