 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Antoine Walker,MIA,29,23,16,7,37.5,103.8,100.1,3.6,10.6,1.19,13.6,2,13.3,7.8,11.4,48.8,50,18.8,93.03,8.2,1676
1,Devin Harris,DAL,23,23,14,9,24.2,105.3,104.2,1,15.2,1.19,17.1,2.8,4.9,3.8,14.4,48,53.1,19.5,93.44,5.9,1084
1,Dirk Nowitzki,DAL,28,23,14,9,42.7,109.3,103.8,5.5,12.6,1.37,10.6,5,25.3,14.8,7.8,49.5,59.6,26.3,90.46,21.1,1855
1,Dwyane Wade,MIA,24,23,16,7,41.7,107,100.4,6.6,26.3,1.47,17,3.3,11.4,7.5,11.6,51.2,59.3,30.8,92.65,19.6,1857
1,Gary Payton,MIA,37,23,16,7,24.3,99.4,96.7,2.7,11.3,2,19.9,1.2,6.1,3.8,9.9,49.6,52.4,12.2,91.26,6.2,1068
1,Jason Williams,MIA,30,23,16,7,29.8,103.1,104.4,-1.3,20.3,2.5,27.4,0.5,6.3,3.5,10.9,47.6,52.2,15.9,93.56,8.1,1344
1,Josh Howard,DAL,26,23,14,9,35.8,110.5,101.9,8.6,6.6,0.62,7.3,5.4,17.8,11.4,11.9,49.2,54.5,23,89.66,11.7,1534
1,Shaquille O'Neal,MIA,34,23,16,7,33,104.8,102.3,2.5,10.3,0.46,7.9,11.1,21.6,16.4,17.2,61.2,57.1,28.4,90.48,13,1426
9,DeSagana Diop,DAL,24,22,14,8,18.5,104.7,100,4.7,0.7,0.18,3.4,10.3,18.5,14.3,18.6,61.5,62.9,6.6,90.19,5.6,752
9,James Posey,MIA,29,22,16,6,27.6,104.7,96.2,8.5,5.5,1.82,12.3,2.8,18.4,11.1,6.8,58.3,61.4,10.9,92.04,10.1,1167
9,Jason Terry,DAL,28,22,14,8,38.4,110.1,104.7,5.4,17.8,1.89,15.7,1.5,7,4.1,8.3,48.4,52,24.2,90.01,10.8,1585
9,Jerry Stackhouse,DAL,31,22,14,8,32.3,108.8,102.9,5.9,13.5,1.51,13.9,2.9,6.3,4.6,9.2,44.2,48.9,22,92.07,7.9,1364
9,Udonis Haslem,MIA,26,22,15,7,29.6,102.1,103,-1,4.3,0.55,7.6,8.5,17.4,13.2,13.8,49.3,53.6,14.8,92.04,8.5,1247
14,Alonzo Mourning,MIA,36,21,14,7,10.7,110.1,94,16.1,2.2,0.18,3.9,9.5,17.4,14.1,22.1,70.3,72.1,15.6,91.63,10.3,426
15,Adrian Griffin,DAL,31,20,12,8,17.5,105.4,99.3,6.1,10.9,2.18,24.7,8.3,14.1,11.1,11.3,54.2,56.8,9.4,93.32,8.6,672
15,Boris Diaw,PHX,24,20,10,10,39.8,111.5,108.6,2.9,20.6,1.89,21.6,5.3,12.2,8.9,11.4,53.1,57.1,22,94.11,11.9,1561
15,James Jones,PHX,25,20,10,10,17.7,105.8,104.9,0.9,2,0.56,4.6,4.7,17.2,10.8,8.3,39,46,13.2,94.66,6.4,694
15,Leandro Barbosa,PHX,23,20,10,10,31.6,109.5,110.7,-1.2,13.7,1.86,16.5,0.8,4.5,2.7,8.8,53.2,57.9,19.9,94.68,7.6,1244
15,Marquis Daniels,DAL,25,20,11,9,11.1,100,97.5,2.5,19.5,2.17,25.2,4.3,5.6,4.9,11.7,46.4,52.1,15.4,94.99,7,437
15,Shawn Marion,PHX,28,20,10,10,42.5,113.5,110.2,3.3,5.8,1.41,7.5,7.4,21.8,14.8,5.3,52.3,56.1,21.2,93.48,13.9,1650
15,Steve Nash,PHX,32,20,10,10,39.9,114.1,109.2,4.9,39.7,3.04,34.1,1.3,8.2,4.9,11.2,55.7,61.5,23.1,93.86,14.8,1557
15,Tim Thomas,PHX,29,20,10,10,31.8,114.5,110.9,3.6,6,1.14,8.7,2.8,17.6,10.5,7.7,60,62.5,19.3,93.57,9.8,1233
23,Erick Dampier,DAL,30,19,10,9,23.9,112,101.9,10,1.9,0.5,5.9,13.3,18,15.7,11.9,54,57.7,9.6,91.1,6.7,852
24,Antonio McDyess,DET,31,18,10,8,20.6,103.9,100.7,3.2,6.1,0.79,7.5,10.5,21.3,15.6,9.5,55.9,56.9,17.4,86.31,12.8,664
24,Ben Wallace,DET,31,18,10,8,35.7,107.1,98.9,8.2,7.6,2.07,20.9,9.9,22.4,16,10.1,46.5,42,8.8,86.51,9.2,1153
24,Chauncey Billups,DET,29,18,10,8,39.2,107.4,100.8,6.7,31.1,2.72,26.7,1,8.7,4.7,9.8,47.6,57.7,22,85.96,14.8,1262
24,Lindsey Hunter,DET,35,18,10,8,12.1,95,101.9,-6.9,25.2,2.07,23,3.7,5.8,4.7,11.1,42.3,46.1,20.4,90.8,4.9,404
24,Rasheed Wallace,DET,31,18,10,8,34.9,107.1,103.6,3.6,9.6,1.28,10.5,2.9,18,10.1,8.2,50.2,51.2,21.2,85.66,9,1120
24,Richard Hamilton,DET,28,18,10,8,38.3,107.8,101.7,6.1,13.9,1.23,10.8,2.5,5.9,4.1,8.7,43.5,50.9,27.6,86.96,9.1,1249
24,Tayshaun Prince,DET,26,18,10,8,41.4,105.9,101.4,4.5,13.8,1.74,15.4,6,8.9,7.4,8.9,50.4,56,19.1,86.04,12.6,1335
31,Raja Bell,PHX,29,17,9,8,39.6,113,111,2,7.6,3.7,16,1.3,6.3,3.9,4.3,60,63.4,13.4,94.55,6.1,1325
32,Maurice Evans,DET,27,16,9,7,6.3,103,95.1,8,6.3,1.5,7.1,6,7.4,6.7,4.8,65,71.5,17,95.19,14.5,197
32,Tony Delk,DET,32,16,9,7,8.7,100,104.5,-4.5,11.1,2,12.5,2.9,11.7,7,6.3,43.6,46.7,17.7,92.74,6.7,269
34,Eddie House,PHX,28,14,7,7,9.3,99.6,117.3,-17.7,7.4,1.2,9.2,0,7.7,3.5,7.7,39.4,40.9,20.1,96.33,2.6,261
34,Keith Van Horn,DAL,30,14,7,7,12.3,95.3,109.9,-14.6,1.9,0.33,2.9,4.2,16.1,9.4,8.8,40.7,42.3,16.9,94.06,2.7,340
36,Anderson Varejao,CLE,23,13,7,6,18.3,104,106.2,-2.1,2.3,0.5,4,8,17.5,12.8,8,62,66.4,13.8,91.01,9.4,447
36,Brent Barry,SAS,34,13,7,6,23.1,107.3,114,-6.8,12.2,2.44,21.8,1.2,10.4,5.9,8.9,69.7,71.9,12.2,93.88,9.8,592
36,Bruce Bowen,SAS,35,13,7,6,34,106.8,108.1,-1.3,5.5,1.78,18.4,1.6,5.4,3.6,10.3,64.8,64.6,7.9,89.13,4.2,814
36,Damon Jones,CLE,29,13,7,6,13.9,112,100.3,11.7,9.8,4,28.6,1.2,7.6,4.6,7.1,40.4,43.2,7.7,88.07,2.9,334
36,Donyell Marshall,CLE,33,13,7,6,26.5,107.6,106.7,1,3.9,0.62,6.1,7.2,14.9,11,9.9,51.9,55.2,16.5,88.55,10.8,642
