,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
120,Jordan Nwora,MIL,22,5,4,1,6.2,83.6,83.3,0.2,5.9,1,4.3,11.1,13.3,12,4.3,27.8,35.6,27.2,103.02,5.6,67
120,Julius Randle,NYK,26,5,1,4,36.1,100.6,112.6,-12.1,20.6,0.87,13.3,5.4,25.4,14.9,15.3,35.6,42.5,31.1,94.9,8.7,357
120,Justin Jackson,MIL,26,5,4,1,3,62.9,85.3,-22.4,20,1,14.3,6.7,5.9,6.3,14.3,60,60,15,112.14,20.6,35
120,Kentavious Caldwell-Pope,LAL,28,5,2,3,29.1,109.9,113.7,-3.9,4.8,2.5,13.5,1.4,8.7,5,5.4,44.8,49.7,10,92.47,3.4,284
120,Kris Dunn,ATL,27,5,2,3,6.6,98.6,91.3,7.3,20.8,1.25,31.3,0,11.4,6.4,25,20,44.4,13.4,103.48,6.1,73
120,Kyle Anderson,MEM,27,5,1,4,28.4,115.1,121,-5.9,14,4,25.4,2.6,15.7,8.7,6.3,46.4,48,13.7,101.26,9.4,299
120,Marc Gasol,LAL,36,5,2,3,17.5,96.6,115.7,-19.1,31.9,3.75,44.1,4.2,20.5,11.3,11.8,88.5,88.1,9.6,94.9,11.4,174
120,Marcus Smart,BOS,27,5,1,4,36.6,118,131.3,-13.2,24.6,2.14,25.2,2,11.2,6.1,11.8,56.1,59.1,20.2,98.46,9,377
120,Mike Scott,PHI,32,5,4,1,6.9,104.2,87.8,16.4,12.5,0,25,2.6,4.8,3.8,0,33.3,33.3,11,101.31,2.9,71
120,Nerlens Noel,NYK,27,5,1,4,18.4,94.2,112.1,-17.9,1.8,0.25,4.8,9.7,11.2,10.4,19,50,67.5,9.3,98.89,5.5,190
120,Obi Toppin,NYK,23,5,1,4,13.1,107.8,104.7,3.1,5.1,0.67,6.5,6,15,10.2,9.7,58.7,62.4,20.1,94.87,10.2,129
120,Payton Pritchard,BOS,23,5,1,4,13.5,115.6,126.1,-10.6,26.1,4,36.4,2.7,11.9,6.8,9.1,44.1,47.5,12.9,95.74,7.3,135
120,RJ Barrett,NYK,21,5,1,4,32.3,102.8,113,-10.2,16.7,7.5,16.7,2.2,20.8,10.7,2.2,44.8,48.9,20.4,94.98,11.5,318
120,Raul Neto,WAS,29,5,1,4,22.5,104.5,114.9,-10.4,6,5,11.9,2.4,7,4.6,2.4,41.2,44.2,13.4,105.47,2.9,246
120,Reggie Bullock Jr.,NYK,30,5,1,4,32.5,99.4,109.3,-10,6.1,1.5,11.8,2.8,7.1,4.9,7.8,51.3,53.4,12.4,94.41,5,318
120,Reggie Perry,BKN,21,5,3,2,4.4,98,82,16,7.1,0.33,5.9,13.8,8.7,11.5,17.6,61.5,61.5,25,109.35,12.2,51
120,Robin Lopez,WAS,33,5,1,4,14.6,98.8,116.9,-18.1,0,0,0,5.3,7.1,6.2,3.6,72,69.1,15.5,108.42,9.5,164
120,Rondae Hollis-Jefferson,POR,26,5,1,4,7.1,92.4,114.1,-21.7,0,0,0,8.1,14.3,11.1,0,80,79.1,7.9,92.27,9.7,66
120,Rui Hachimura,WAS,23,5,1,4,34.6,108,123.2,-15.2,4.1,1,8.1,2.7,17.4,10,8.1,71.3,70.8,13.5,103.92,9.1,375
120,Russell Westbrook,WAS,32,5,1,4,37.2,107.9,122.7,-14.8,44.4,2.81,31.9,7,19.9,13.3,11.4,36.3,46.2,27.6,104.42,12.1,405
