 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Al Horford,BOS,31,18,9,9,33.9,109.8,116.3,-6.5,26,2.94,29.3,5.1,15.1,10,10,65.5,66.8,17.5,93.5,14.1,1189
1,Avery Bradley,BOS,26,18,9,9,35.8,110,116.6,-6.5,10.3,1.32,11.6,2.9,8.6,5.7,8.8,51.5,53,22,94.63,7.7,1274
1,Deron Williams,CLE,33,18,13,5,14.6,116.6,106.4,10.2,20.7,2.24,30.9,1.3,6.9,4.5,13.8,53.1,56.7,14.6,99.64,6.4,543
1,JR Smith,CLE,31,18,13,5,27,122.1,111.3,10.8,3.4,1.08,10.1,1.1,7.5,4.3,9.3,70.7,69.8,10.4,97.41,5.3,984
1,Jae Crowder,BOS,26,18,9,9,33.1,109.6,112,-2.4,12.4,4,17,3.4,16.6,9.9,4.2,51.3,55.4,17.7,95.15,10.1,1183
1,Kelly Olynyk,BOS,26,18,9,9,19.2,110,107.8,2.1,16,1.55,17.7,4.1,12.6,8.3,11.5,57.2,59.7,20.4,97.21,10,702
1,Kevin Love,CLE,28,18,13,5,32.1,121,108.8,12.2,7.4,0.97,9.6,6.4,25.9,16.5,9.9,55,60.4,21.6,96.52,13.6,1164
1,Kyle Korver,CLE,36,18,13,5,18.1,114.3,106.9,7.5,5.6,1.86,12.6,0.7,8,4.6,6.8,59.4,62.2,12.2,98.95,6.3,676
1,Kyrie Irving,CLE,25,18,13,5,36.3,120.9,111.5,9.4,23.6,1.98,17.5,2.1,5.7,3.9,8.9,52.7,57.3,29.9,97.13,12.5,1322
1,LeBron James,CLE,32,18,13,5,41.3,122.9,109.9,13,33,1.96,21.2,2.7,18.9,11.2,10.8,62.2,64.9,31.1,96.46,19.9,1496
1,Marcus Smart,BOS,23,18,9,9,29.9,109,109.5,-0.5,22.5,2.24,30.5,4.3,12.2,8.1,13.6,45.9,49.7,16.2,95.81,7.6,1071
1,Tristan Thompson,CLE,26,18,13,5,31.2,118.4,108.8,9.5,6.2,1.24,15.6,13.1,13.5,13.3,12.6,58.7,62.5,11,97.27,8.6,1132
13,David West,GSW,36,17,16,1,13,108.4,104.5,3.9,24.5,3.6,33.3,3.4,17.1,10.6,9.3,58.5,60.4,14.8,95.89,12.7,439
13,Draymond Green,GSW,27,17,16,1,34.9,118.2,100.8,17.4,23.3,3.06,32.7,3.5,20.1,12.5,10.7,54.7,58.3,16.1,102.36,13.1,1267
13,Iman Shumpert,CLE,27,17,12,5,16.2,112.7,107.6,5.1,8.3,2.67,17.8,2.5,13.4,8.5,6.7,50,54.8,11.9,100.95,6.4,575
13,Jaylen Brown,BOS,20,17,8,9,12.6,105.5,108.8,-3.3,9.9,1,12.5,5.3,11.3,8.2,12.5,51.4,53.9,18.3,98.11,6.8,434
13,Klay Thompson,GSW,27,17,16,1,35,117.3,103.2,14.1,7.7,1.46,11.3,1.9,8.2,5.3,7.7,48.3,50.7,19.7,101.35,6.1,1264
13,Stephen Curry,GSW,29,17,16,1,35.3,125,106.5,18.4,27,1.97,21.5,3.9,12,8.3,10.9,59.9,65.9,28.9,102.79,17.3,1290
13,Terry Rozier,BOS,23,17,9,8,16.3,113.9,104.3,9.6,16.1,3.2,24.1,4.4,11.6,8,7.5,48.8,52.9,15.7,99.55,9,575
20,Andre Iguodala,GSW,33,16,15,1,26.2,115.1,104.6,10.4,16.4,3.19,28.3,2.1,12,7.3,8.9,49.5,51.1,12.9,101.74,8.1,895
20,Danny Green,SAS,30,16,8,8,27.2,107.2,113.3,-6,7.7,1.35,14.7,2.9,10.8,6.7,10.9,52.3,52.9,13.3,94.07,5.9,856
20,Ian Clark,GSW,26,16,15,1,13.7,99.8,101.6,-1.8,8.4,1,10.2,1.8,9.8,5.9,10.2,58.9,63,19.3,98.53,10,457
20,JaVale McGee,GSW,29,16,15,1,9.3,127.8,103.7,24.2,3.8,0.5,5.3,15.4,14.2,14.7,10.7,73.2,74.3,19.1,105.7,12.6,327
20,LaMarcus Aldridge,SAS,31,16,8,8,33.6,108.3,112.7,-4.4,7.6,0.86,7.6,7.9,14.7,11.2,8.9,46.3,50,24,92.96,9.6,1041
20,Manu Ginobili,SAS,39,16,8,8,17.8,109.5,108.3,1.2,19.8,3.25,24.8,3.2,11,6.8,7.6,45.9,49.5,17.7,97.79,8.8,578
20,Patty Mills,SAS,28,16,8,8,26,110.2,113.7,-3.5,14.7,2.05,20.3,1.2,7.8,4.2,9.9,52.1,55.1,17.5,97.13,6.9,843
20,Pau Gasol,SAS,36,16,8,8,22.8,115.3,111.7,3.6,12,1.72,17.9,10.8,21.3,16,10.4,46.5,49.4,17.1,93.59,9.8,713
28,David Lee,SAS,34,15,8,7,16.3,115.9,107.2,8.7,6.3,1.83,15.3,8.8,18,13.2,8.3,52.1,55,11.3,92.21,7.6,472
28,Isaiah Thomas,BOS,28,15,8,7,34.7,109.8,112.8,-3.1,32.9,2,21.9,1,8.2,4.5,11,49.4,56.3,30.3,95.55,12.5,1044
28,Jonathon Simmons,SAS,27,15,7,8,20.4,107.5,110.4,-2.9,14.8,2.64,15.4,2.7,6.8,4.6,5.9,50.4,52.8,21.9,97.67,8.4,617
