 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
94,Andre Miller,DEN,37,6,2,4,25.7,100.6,107.2,-6.6,25.6,1.44,19.3,6.5,6.2,6.4,13.4,45.7,51.9,26,100.26,10.2,325
94,Anthony Tolliver,ATL,28,6,2,4,11.4,94.9,82,12.9,3,1,5.9,4.3,7.7,6.1,5.9,82.1,78.3,10.7,96.77,13,137
94,Avery Bradley,BOS,22,6,2,4,31.9,89.9,96.3,-6.3,8.4,0.73,12.7,1.9,5.3,3.8,17.5,42.9,45.7,14.7,87.26,4.8,348
94,Ben Hansbrough,IND,25,6,2,4,3.7,81.4,116.3,-34.9,23.1,1.5,30,3.2,10,5.9,20,0,0,13.5,93.97,-4.5,43
94,Blake Griffin,LAC,24,6,2,4,26.3,106.3,118.1,-11.8,17.4,1.15,14.6,5.6,18,11.7,12.6,45.3,52.4,27,87.3,10.1,287
94,Brandon Bass,BOS,28,6,2,4,33.9,94.7,97.1,-2.4,6.1,1.4,14.6,4.7,16.3,11,10.4,48.3,56.2,10,89.26,8.2,379
94,Caron Butler,LAC,33,6,2,4,22.6,102.9,120.6,-17.7,0,0,0,0.8,12.1,6.5,11.3,52.2,53.9,19.3,87.12,6.4,244
94,Chandler Parsons,HOU,24,6,2,4,39.6,105.8,107.8,-2,17.3,1.22,15.8,2.8,13.2,8,12.9,53.8,55,21.7,94.99,9.8,466
94,Chauncey Billups,LAC,36,6,2,4,19.2,103.3,117.1,-13.8,8.6,0.75,11.3,2,9.2,5.7,15.1,38.9,45.3,19.9,88,2.8,212
94,Chris Paul,LAC,28,6,2,4,37.3,105.6,116.3,-10.7,33.9,4.22,24.7,1.5,10.2,5.8,5.8,56.5,63.3,24.7,88.43,20,413
94,Corey Brewer,DEN,27,6,2,4,24.4,111.3,113.4,-2.1,7.2,1,7.6,2,6.5,4,7.6,37.5,42.1,24.7,99.82,1.5,302
94,Daequan Cook,CHI,26,6,3,3,5.9,98.5,127.9,-29.4,19,1,22.2,0,10.3,4.5,22.2,15,15,17.1,91.1,-7.3,67
94,David Lee,GSW,30,6,2,4,10.9,78.4,89.1,-10.7,15.6,1,11.1,6.9,36.1,18.9,11.1,39.4,42.1,25,101.81,15.2,139
94,DeAndre Jordan,LAC,24,6,2,4,24.1,103.1,116.1,-13,1.1,0.11,2.8,11.5,16.9,14.3,25,45.5,42.4,11.8,84.74,3.1,256
94,Devin Harris,ATL,30,6,2,4,37.6,97,102.3,-5.2,16.3,1.83,20.4,0.9,7,3.9,11.1,40.5,45.9,17.8,93.39,5.9,440
94,Eric Bledsoe,LAC,23,6,2,4,16.2,111.6,103.8,7.8,30,3.6,30.5,2.4,13.1,8.2,8.5,51.7,55.3,19.9,90.69,13.6,181
94,Francisco Garcia,HOU,31,6,2,4,27.4,110.2,108.3,1.9,9.3,2.25,13.8,1.9,10.4,6.1,6.2,61,61.3,15.4,94.37,7.5,322
94,Ivan Johnson,ATL,29,6,2,4,18,90.7,91.8,-1.1,5.5,0.5,6.8,8.1,10.8,9.4,13.6,46.2,53.1,17.2,96.31,4.6,215
94,JaVale McGee,DEN,25,6,2,4,18.7,109.3,107.4,1.8,0,0,0,14,13.1,13.6,22,58.1,55.2,18.7,97.77,5.3,227
94,Jamal Crawford,LAC,33,6,2,4,26.9,108,107.9,0,10.3,2.5,12.5,1.4,6.4,3.9,5,43.5,48.6,20.2,89.63,8.3,301
94,James Harden,HOU,23,6,2,4,40.5,109.1,109.7,-0.6,20,1,13.6,2,15,8.2,13.6,45.7,54.8,30.5,95.63,13.2,484
94,Jason Terry,BOS,35,6,2,4,31.5,97.7,98.6,-0.8,12.9,2.4,16.2,0,6.6,3.6,6.8,58.3,61.2,16.4,88.03,10.9,349
94,Jeff Green,BOS,26,6,2,4,43,91,100.6,-9.6,13,0.74,10.1,2.7,10.1,6.7,13.7,49.4,58.2,24.6,87.35,10.8,468
94,Jeff Teague,ATL,25,6,2,4,35.5,92,105.1,-13.1,25.9,2.14,21.7,1.4,6.7,4,10.1,35.2,42.9,23.8,92.67,7.3,414
94,Johan Petro,ATL,27,6,2,4,16.8,85.6,98.5,-12.9,7.8,1.33,11.4,3.6,18.2,10.5,8.6,51.9,52,14.1,94.99,7,201
94,Josh Smith,ATL,27,6,2,4,33.2,96.6,100.3,-3.6,20.8,1.31,14.6,5.1,17.1,11.2,11.1,46.1,48.2,29.4,93.06,12.1,385
94,Kevin Garnett,BOS,37,6,2,4,35.3,92.1,93.4,-1.3,22.6,1.11,19.4,5,33.6,20.7,17.6,50,56.3,20.7,88.49,19.3,391
94,Kosta Koufos,DEN,24,6,2,4,16.7,91.5,111.3,-19.8,5.1,1.5,11.1,8.3,13.5,10.7,7.4,39.5,46.2,10.1,101.66,4.7,212
94,Kyle Korver,ATL,32,6,2,4,29.6,97.2,100.6,-3.4,4,0.67,6.3,0,10.8,5.5,9.5,51,56.2,15.3,95.06,7.6,352
94,Lamar Odom,LAC,33,6,2,4,17.9,98.5,109.6,-11.1,17.5,1.1,20.4,4.1,18.4,11.5,18.5,45,46,18.9,91.1,7.5,199
94,Matt Barnes,LAC,33,6,2,4,26.9,112.4,106.5,5.9,3,0.6,4.9,5,14.5,10.1,8.2,62.5,67.8,16.8,91.32,11.4,307
94,Omer Asik,HOU,26,6,2,4,34.6,106.2,101.7,4.4,2.4,0.25,3.9,10.2,21.3,15.9,15.8,56.4,62,15.5,93.97,11.7,406
94,Patrick Beverley,HOU,24,6,2,4,33.3,110.2,107.3,2.8,14,2.83,18.7,5.2,11.2,8.1,6.6,49.2,52.1,16.1,95.1,8.7,394
94,Paul Pierce,BOS,35,6,2,4,42.5,92.8,100,-7.2,28.6,1,17.6,1.9,11.7,7.2,17.6,42,48.4,29.6,88.75,9,472
94,Tony Wroten,MEM,20,6,3,3,2.9,77.5,102.6,-25.1,25,1,11.8,3.6,16.7,8.7,11.8,18.2,31.3,28.8,110.67,5.4,40
