 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Daniel Gafford,DAL,25,22,13,9,20.2,105.9,111.3,-5.4,5.5,0.79,8,10,17.1,13.7,10.2,63.4,65,17.2,94.81,12.4,880
1,Derrick Jones Jr.,DAL,27,22,13,9,29.4,111.6,107.8,3.7,6,1.5,12.4,5.3,6.4,5.8,8.3,55.6,57.7,13,94.41,6,1270
1,Josh Green,DAL,23,22,13,9,18.1,110.1,109.7,0.4,8.1,3.29,18.9,5.5,8.9,7.2,5.7,55.9,58.4,10.9,96.92,7,805
1,Kyrie Irving,DAL,32,22,13,9,40,116.6,110.9,5.7,20.4,2.22,19.2,2.6,6.7,4.7,8.6,53.4,56.6,24,93.27,10.8,1715
1,Luka Doncic,DAL,25,22,13,9,40.9,113.8,109.4,4.3,35,1.98,21.3,1.8,21.1,11.6,10.8,51.4,55.6,32.4,93.26,17.7,1757
1,P.J. Washington,DAL,25,22,13,9,35.7,113.8,110.4,3.4,5.8,0.97,9.6,4.3,14,9.2,9.9,52.8,55.4,16.5,93.85,7.4,1532
7,Dante Exum,DAL,28,21,12,9,6.8,102.4,106.5,-4.1,13.6,2.4,18.8,2.1,9.2,5.8,7.8,44.3,46.1,15.9,97.91,6,292
7,Dereck Lively II,DAL,20,21,13,8,22,114.5,105.4,9.1,8.1,1.29,16,12.2,21.3,16.7,12.4,67.9,67.7,13.1,96.58,12.3,935
9,Al Horford,BOS,38,19,16,3,30.3,118,106.6,11.4,9.6,3.33,20.5,6.4,17.7,12.1,6.2,60.5,60.9,12.2,93.56,10.2,1126
9,Derrick White,BOS,29,19,16,3,35.6,113.6,108.1,5.5,17.9,4.81,21.9,2.9,9.5,6.2,4.6,58.7,61.7,18.2,94.33,11.4,1326
9,Jaden Hardy,DAL,21,19,11,8,6.8,94.9,106,-11.1,25.4,2.43,17.2,1.6,9.6,5.7,7.1,50.7,53.6,27.3,101.09,10.5,275
9,Jaylen Brown,BOS,27,19,16,3,37.2,116.1,109.9,6.2,15.3,1.22,12.4,3.3,13.3,8.3,10.2,56.9,59.1,28,93.78,12.1,1382
9,Jayson Tatum,BOS,26,19,16,3,40.4,117.8,108.6,9.2,25.1,2.38,20,2.3,22.4,12.4,8.4,48,54.9,28,93.26,14.9,1497
9,Jrue Holiday,BOS,34,19,16,3,37.9,117.4,107.3,10,16.8,2.86,26.3,5.3,11.1,8.3,9.2,59.3,61.7,14.6,93.53,10.1,1404
9,Payton Pritchard,BOS,26,19,16,3,18.7,114.3,108.6,5.7,16.3,2.86,24.2,4.1,6.8,5.4,8.5,52.9,55.3,16,93.53,6.9,687
9,Sam Hauser,BOS,26,19,16,3,14.9,117.6,102.2,15.5,5.5,3.67,11,3,11.9,7.5,3,58.9,60.1,14.1,94.35,8,556
17,Aaron Nesmith,IND,24,17,8,9,32.9,120.3,117.7,2.6,8.1,1.61,17.1,3.6,12,7.8,10.6,51.1,56.6,14.5,94.31,5.5,1093
17,Andrew Nembhard,IND,24,17,8,9,32.6,122,119.4,2.6,23,4.09,30.3,2.7,7.6,5.3,7.4,64,65.4,17.8,93.44,9.9,1075
17,Ben Sheppard,IND,22,17,8,9,19.7,120.4,113.8,6.5,5.9,1.55,16.7,3.3,12,7.9,10.8,57,58.7,11,97.5,5.2,673
17,Myles Turner,IND,28,17,8,9,32.4,123.9,119,4.9,8.7,1.09,12.2,5.2,16,10.8,11.2,61.2,63.7,21.3,93.71,10.4,1075
17,Obi Toppin,IND,26,17,8,9,20.2,113.4,113.6,-0.1,11.9,2.07,15.4,2.9,18.5,10.7,7.4,61.5,63.4,19.7,98.48,12.9,699
17,Pascal Siakam,IND,30,17,8,9,35.4,121.7,117.5,4.2,15.7,3.37,16,7.5,14.4,11.1,4.8,56.6,57.8,25,94.41,12.6,1180
17,T.J. McConnell,IND,32,17,8,9,20.5,114.9,113.9,1.1,36.3,4.1,28.9,3.2,11.9,7.5,7,50.5,52.2,25.7,97.61,13.7,703
24,Anthony Edwards,MIN,22,16,9,7,40.5,115,110.6,4.4,27.7,2,19.7,2.8,15.7,9.1,9.9,55.2,59.8,28.9,93.95,15.8,1276
24,Jaden McDaniels,MIN,23,16,9,7,33.6,117.9,111.5,6.4,4.8,1.06,9.5,5.4,6.6,6,8.9,60,62.7,14.3,93.24,6.4,1043
24,Karl-Anthony Towns,MIN,28,16,9,7,32.6,112.7,111.7,1,13.3,1.56,12.7,6.8,22.5,14.4,8.2,53,58.1,24.5,94.07,13.3,1026
24,Naz Reid,MIN,24,16,9,7,22.5,110.5,113.4,-2.9,7.3,1.14,8.6,2.6,15.4,8.8,7.5,54.6,56.9,21,95.16,9.2,714
24,Nickeil Alexander-Walker,MIN,25,16,9,7,23.6,111.1,110.7,0.5,14.6,2.47,22,1.3,6.8,3.9,8.9,47.3,49.8,14.9,96.76,5.6,763
29,Isaiah Jackson,IND,22,15,6,9,10.2,109.2,109.9,-0.7,6.3,1.75,11.5,14,17.6,15.8,6.6,53.5,56,14.9,96.81,9.6,306
29,Kyle Anderson,MIN,30,15,8,7,15.4,105.4,112.7,-7.3,25,3.8,34.2,7.7,10.9,9.2,9,47.4,51.4,13.7,96.44,8.8,464
29,Mike Conley,MIN,36,15,9,6,31.6,115.2,110.9,4.2,27,4.3,33,2.2,11.1,6.6,7.7,53.1,55.3,16.5,92.57,10.4,922
29,Rudy Gobert,MIN,32,15,8,7,34.2,119.1,109.3,9.8,6.6,1.04,13,8.4,22.9,15.6,12.5,61.5,65.2,13.9,93.71,10.3,999
29,Tyrese Haliburton,IND,24,15,8,7,34.8,121.8,116.9,4.9,32,3.97,32.9,2.4,11.5,7.1,8.3,61.2,62.6,21.4,94.69,14.5,1033
34,Tim Hardaway Jr.,DAL,32,14,8,6,12.7,103.3,113.4,-10,4.4,2.5,7.4,1.1,12,6.6,2.9,49.1,49.6,15.1,97.1,6.5,360
35,Donte DiVincenzo,NYK,27,13,7,6,35.8,118.7,125.6,-6.9,10.8,2.13,13.4,2.7,9.3,5.8,6.3,53.7,56.6,20.3,93.14,8.6,905
35,Dwight Powell,DAL,32,13,8,5,3.4,100,95.6,4.4,10.7,1,25,7.1,19.6,13.6,25,33.3,53.2,9.5,96.11,3.1,87
35,Isaiah Hartenstein,NYK,26,13,7,6,29.8,118.7,128.2,-9.5,16.6,2.42,30.3,12.7,15.3,14,12.5,59.9,64.2,12.3,90.97,8.9,734
35,Jalen Brunson,NYK,27,13,7,6,39.8,118.2,118.2,0,33.6,2.77,18.7,1.5,7.2,4.2,6.8,48.2,53.6,35.2,92.66,13.9,1004
35,Josh Hart,NYK,29,13,7,6,42.1,118,122.3,-4.3,15.1,1.74,22.3,6.5,22.2,13.9,12.9,51.3,55.2,16.3,92.27,10,1053
35,Luke Kornet,BOS,28,13,11,2,10.2,104.5,111.4,-6.8,8.2,1.17,17.1,14.4,16.4,15.4,14.6,66.7,73,11.3,95.3,10.6,265
35,Maxi Kleber,DAL,32,13,6,7,16.8,112,109.8,2.2,8.2,2.6,22,1.8,10,5.8,8.5,56.4,57.6,9.1,96.22,5,440
35,Miles McBride,NYK,23,13,7,6,26.7,113.5,117.9,-4.4,11.4,2.27,15.2,1.8,6.8,4.1,6.7,53.6,55.3,17.3,93.54,6.4,674
43,Aaron Gordon,DEN,28,12,7,5,37.1,109,112.9,-3.9,18,2.94,26.2,8.4,12.2,10.2,8.9,63.1,66,15.3,94.05,11.4,866
